"cond","needs","nfc","age","gender","relation_type","rel_val","expect"
1,1.125,3.8,29,"Man","Friendship",4.6,4
3,3.75,5.06666666666667,24,"Woman","Friendship",7,5
3,5.125,3.6,22,"Woman","Casually Dating",2.6,2
2,6.375,5.4,23,"Woman","Romantic Relationship",7,4
2,6,5.6,24,"Man","Friendship",6.2,3
1,2.875,5.4,27,"Woman","Friendship",3.4,7
2,5.625,5.66666666666667,28,"Woman","Friendship",3.8,5
1,1.75,6.86666666666667,29,"Man","Romantic Relationship",7,7
2,6,5.2,22,"Man","Friendship",5.4,3
1,1.25,5.13333333333333,27,"Man","Friendship",6.6,7
1,1.125,5.06666666666667,20,"Woman","Friendship",7,7
3,4.75,3.66666666666667,24,"Woman","Romantic Relationship",2.2,6
2,6,5,25,"Woman","Romantic Relationship",7,5
1,4,4.4,29,"Man","Friendship",5,2
3,2.375,5.93333333333333,25,"Woman","Friendship",5.2,5
1,3.75,2.8,20,"Woman","Casually Dating",2.6,4
3,2.5,5.66666666666667,21,"Woman","Romantic Relationship",3.4,2
3,2.875,5.2,28,"Woman","Casually Dating",6.2,6
3,2.875,4.93333333333333,21,"Woman","Friendship",6.4,7
1,4,3.26666666666667,23,"Man","Friendship",5.4,7
3,3.25,4.73333333333333,27,"Man","Romantic Relationship",4.4,4
1,3.125,3.46666666666667,22,"Man","Friendship",3.6,7
2,6.625,5.06666666666667,23,"Woman","Romantic Relationship",7,1
2,6.125,4.8,24,"Man","Romantic Relationship",6.4,2
1,2.25,4.8,29,"Woman","Friendship",5.4,7
3,3,4.8,25,"Woman","Friendship",5.8,5
3,2.125,5.6,20,"Man","Romantic Relationship",4.8,3
3,4.5,5.13333333333333,22,"Woman","Casually Dating",2.2,5
2,6.375,4.33333333333333,28,"Woman","Romantic Relationship",6.2,4
2,6.375,5.8,26,"Woman","Friendship",4,3
3,4.75,4.4,20,"Man","Casually Dating",3.8,3
1,1.75,2.66666666666667,23,"Woman","Casually Dating",6.2,2
2,6.875,6.53333333333333,27,"Man","Friendship",7,1
2,5,5.8,19,"Woman","Friendship",5.6,5
3,3.25,4.26666666666667,24,"Man","Casually Dating",3.8,7
1,1.5,5.6,22,"Woman","Friendship",6,7
2,5.375,6.13333333333333,21,"Woman","Friendship",7,4
3,4.625,5.8,23,"Woman","Romantic Relationship",2.8,5
2,6.25,4.13333333333333,25,"Other","Friendship",7,6
1,1.5,6.33333333333333,18,"Man","Friendship",6.8,6
3,1.75,4.53333333333333,19,"Woman","Romantic Relationship",4.6,7
2,6.625,5.4,26,"Woman","Romantic Relationship",6.8,4
2,6.75,5.86666666666667,24,"Woman","Romantic Relationship",6.4,5
3,2.375,5.13333333333333,27,"Woman","Romantic Relationship",6,5
3,3.875,4.2,22,"Woman","Casually Dating",5,3
2,7,5.8,29,"Man","Friendship",7,1
1,2.25,5,24,"Man","Friendship",5.6,7
1,3.5,2.8,25,"Woman","Friendship",5,6
3,3.875,4.6,28,"Man","Friendship",6,1
1,4,6.06666666666667,29,"Woman","Romantic Relationship",3.8,5
1,5.125,3,24,"Man","Casually Dating",3,2
2,6,4,18,"Woman","Friendship",5.6,3
1,1.625,6,18,"Man","Romantic Relationship",5.4,3
1,5.25,4.2,18,"Woman","Friendship",6,3
3,2,5.06666666666667,26,"Man","Friendship",3.8,4
1,1.625,5.4,26,"Woman","Romantic Relationship",6.2,3
2,5.5,5.53333333333333,28,"Man","Friendship",6,2
2,6.875,4.06666666666667,29,"Woman","Friendship",5.4,5
3,3.875,5.4,27,"Woman","Casually Dating",2,5
2,5.125,4.4,26,"Man","Friendship",6.2,5
1,2.75,3.93333333333333,28,"Woman","Friendship",5.2,4
1,3.75,5.66666666666667,20,"Man","Friendship",5,2
3,1.5,4.2,24,"Man","Friendship",6,6
3,3.25,4.06666666666667,29,"Woman","Friendship",5.8,5
2,5.375,6.06666666666667,26,"Man","Friendship",4.8,1
3,1.75,7,28,"Man","Friendship",6.6,7
3,4.75,2.53333333333333,24,"Man","Romantic Relationship",3.8,1
1,4.25,5.13333333333333,22,"Man","Casually Dating",4.8,4
2,6.5,5,22,"Woman","Romantic Relationship",6.6,5
1,4,4.53333333333333,19,"Woman","Friendship",4.2,4
3,3,4.4,22,"Man","Casually Dating",5,3
2,5.75,3.26666666666667,20,"Woman","Casually Dating",4.4,6
1,2.625,4.86666666666667,23,"Man","Friendship",3.4,6
3,2,4.66666666666667,19,"Woman","Friendship",5.8,5
2,6.375,5.46666666666667,29,"Woman","Romantic Relationship",7,7
2,5.75,5,19,"Woman","Romantic Relationship",6,2
1,1.625,5.8,25,"Man","Friendship",5.6,7
2,4.25,4.93333333333333,20,"Woman","Friendship",5.6,3
3,2.5,4.4,25,"Woman","Romantic Relationship",4.6,3
2,6.25,4.6,20,"Man","Friendship",5.8,5
2,5.125,5.2,28,"Woman","Friendship",4,6
3,2.75,4.26666666666667,28,"Woman","Romantic Relationship",7,3
3,6.5,5.4,24,"Man","Romantic Relationship",7,2
1,2,4.33333333333333,22,"Man","Friendship",5.6,6
1,2,4.8,23,"Woman","Friendship",3.6,6
1,2.25,5.26666666666667,25,"Woman","Friendship",3.6,5
1,1.75,4.93333333333333,24,"Woman","Friendship",6.6,3
1,2.375,4.26666666666667,26,"Man","Friendship",5.2,7
3,1.625,4.46666666666667,25,"Woman","Casually Dating",4.8,6
1,1.125,6.06666666666667,25,"Man","Friendship",7,7
2,4.125,3.66666666666667,19,"Other","Friendship",3.2,3
3,4,4.93333333333333,20,"Man","Friendship",4.8,3
2,5.25,6.06666666666667,26,"Woman","Friendship",2,7
2,5.125,3.86666666666667,26,"Man","Friendship",5.6,5
