"cond","needs","nfc","age","gender","relation_type","rel_val","expect"
2,6.25,5.4,24,"Woman","Casually Dating",4.8,3
1,1.75,5.46666666666667,28,"Woman","Romantic Relationship",6.4,3
1,1.375,3.13333333333333,29,"Man","Friendship",7,5
3,2.875,5,22,"Man","Casually Dating",6.6,7
3,1.75,6.33333333333333,25,"Man","Romantic Relationship",5.8,6
2,5.625,4.8,29,"Man","Friendship",6,6
2,6.125,3.4,18,"Man","Friendship",6,5
2,5.5,3.86666666666667,24,"Man","Romantic Relationship",2.6,7
3,2.5,4.33333333333333,29,"Woman","Friendship",6,3
3,2.25,5.4,21,"Man","Romantic Relationship",5.8,7
3,3.375,2.93333333333333,24,"Man","Romantic Relationship",6.8,3
1,4,5.73333333333333,29,"Woman","Friendship",7,7
2,6.625,5.4,28,"Woman","Romantic Relationship",6.8,4
3,1.75,5.33333333333333,28,"Woman","Romantic Relationship",6.8,3
2,4.5,4,28,"Man","Casually Dating",5.2,3
2,6.375,5.06666666666667,27,"Man","Casually Dating",6.8,1
1,1,3.6,29,"Woman","Friendship",7,6
1,2.625,2.33333333333333,24,"Man","Friendship",5,6
2,5.875,5.26666666666667,24,"Woman","Casually Dating",3.4,4
3,3.875,5.53333333333333,29,"Man","Romantic Relationship",5,3
1,2,3.6,24,"Woman","Casually Dating",4.6,5
1,1,4,27,"Woman","Romantic Relationship",7,7
3,3.625,4.2,22,"Woman","Romantic Relationship",4,3
1,2.125,5.66666666666667,28,"Woman","Friendship",5.6,6
1,1.125,4.2,29,"Man","Casually Dating",6,6
3,2.875,3.73333333333333,28,"Woman","Romantic Relationship",4.6,3
2,6.25,5.66666666666667,27,"Woman","Friendship",6.4,4
2,6.25,5.06666666666667,28,"Woman","Friendship",7,5
1,1.875,6.13333333333333,26,"Other","Romantic Relationship",6.4,2
3,1.125,5.33333333333333,21,"Woman","Friendship",7,7
3,1.25,6,21,"Woman","Friendship",7,7
2,5.875,3.46666666666667,21,"Man","Friendship",6.2,5
3,2.875,3.93333333333333,28,"Woman","Romantic Relationship",6.2,7
3,2,5.13333333333333,26,"Woman","Romantic Relationship",4.8,3
2,6,4.06666666666667,18,"Man","Casually Dating",5.8,2
1,2.125,4.93333333333333,23,"Man","Casually Dating",2.8,7
2,5.625,6,21,"Woman","Romantic Relationship",5.6,3
3,3.25,3.93333333333333,26,"Woman","Romantic Relationship",4.2,4
1,1.375,4.26666666666667,22,"Man","Friendship",3,7
3,4.125,4.53333333333333,18,"Man","Casually Dating",2.6,7
2,4.875,5.53333333333333,27,"Woman","Casually Dating",5.6,5
2,6.375,3.33333333333333,19,"Man","Romantic Relationship",6.8,2
2,6.875,5.2,20,"Man","Romantic Relationship",5.8,5
2,6,4.8,23,"Man","Romantic Relationship",6.4,6
1,1.75,6.6,29,"Woman","Friendship",7,1
3,1,4.13333333333333,25,"Woman","Romantic Relationship",7,7
1,1.375,6.13333333333333,24,"Woman","Romantic Relationship",6.6,5
2,6.125,6.46666666666667,26,"Man","Friendship",5.2,4
2,6.875,5.66666666666667,25,"Woman","Romantic Relationship",6,6
2,6.375,3.6,27,"Man","Romantic Relationship",6.4,4
1,1.625,5.73333333333333,29,"Woman","Friendship",4.6,6
2,6,4.46666666666667,28,"Man","Friendship",3.4,5
1,4.125,4.53333333333333,28,"Man","Casually Dating",3.8,5
3,2.625,4.93333333333333,27,"Woman","Romantic Relationship",4.4,4
2,4.75,4.53333333333333,24,"Man","Casually Dating",5.2,3
3,1.5,4.86666666666667,29,"Man","Casually Dating",2,1
2,6.375,5.66666666666667,23,"Man","Friendship",6.6,2
3,4.375,6.06666666666667,25,"Woman","Romantic Relationship",2.8,1
3,3.375,4.33333333333333,28,"Woman","Casually Dating",4.4,6
1,6,4.26666666666667,29,"Man","Casually Dating",3,2
2,6.375,4.53333333333333,26,"Man","Romantic Relationship",6,3
1,2.25,5.4,26,"Man","Casually Dating",4.4,6
1,2.375,4.86666666666667,29,"Man","Friendship",5.6,3
1,2.5,3.93333333333333,29,"Woman","Casually Dating",2.2,5
2,6.5,5,20,"Woman","Friendship",6.4,3
3,2.875,3.93333333333333,19,"Man","Friendship",6.6,4
2,5.375,5.33333333333333,28,"Woman","Friendship",5.2,2
1,1.75,5.26666666666667,28,"Woman","Friendship",6,4
1,2.875,4.8,22,"Man","Casually Dating",5.2,6
2,3.125,2.33333333333333,29,"Man","Romantic Relationship",6.4,5
3,4.625,4.13333333333333,21,"Man","Romantic Relationship",5.2,3
