"id","likelihood","curstate","predout","tempdist","age","gender"
67,7,"peace","peace","1yr",38,"female"
67,6,"peace","peace","20yr",38,"female"
68,7,"peace","peace","1yr",23,"male"
68,6,"peace","peace","20yr",23,"male"
69,7,"peace","peace","1yr",38,"female"
69,6,"peace","peace","20yr",38,"female"
70,7,"peace","peace","1yr",33,"male"
70,6,"peace","peace","20yr",33,"male"
71,7,"peace","peace","1yr",19,"male"
71,6,"peace","peace","20yr",19,"male"
72,7,"peace","peace","1yr",20,"male"
72,7,"peace","peace","20yr",20,"male"
73,7,"peace","peace","1yr",32,"male"
73,7,"peace","peace","20yr",32,"male"
74,7,"peace","peace","1yr",44,"male"
74,7,"peace","peace","20yr",44,"male"
75,1,"peace","war","1yr",39,"male"
75,2,"peace","war","20yr",39,"male"
76,1,"peace","war","1yr",34,"male"
76,2,"peace","war","20yr",34,"male"
77,1,"peace","war","1yr",32,"male"
77,2,"peace","war","20yr",32,"male"
78,1,"peace","war","1yr",28,"male"
78,2,"peace","war","20yr",28,"male"
79,1,"peace","war","1yr",24,"female"
79,3,"peace","war","20yr",24,"female"
80,1,"peace","war","1yr",27,"female"
80,3,"peace","war","20yr",27,"female"
81,1,"peace","war","1yr",22,"female"
81,3,"peace","war","20yr",22,"female"
82,1,"peace","war","1yr",28,"female"
82,3,"peace","war","20yr",28,"female"
83,1,"peace","war","1yr",29,"female"
83,3,"peace","war","20yr",29,"female"
84,1,"peace","war","1yr",19,"female"
84,5,"peace","war","20yr",19,"female"
85,1,"peace","war","1yr",27,"male"
85,6,"peace","war","20yr",27,"male"
86,1,"peace","war","1yr",27,"male"
86,6,"peace","war","20yr",27,"male"
87,1,"peace","war","1yr",37,"female"
87,6,"peace","war","20yr",37,"female"
88,1,"peace","war","1yr",30,"female"
88,7,"peace","war","20yr",30,"female"
89,2,"peace","war","1yr",41,"male"
89,2,"peace","war","20yr",41,"male"
90,2,"peace","war","1yr",68,"male"
90,2,"peace","war","20yr",68,"male"
91,2,"peace","war","1yr",31,"male"
91,3,"peace","war","20yr",31,"male"
92,2,"peace","war","1yr",31,"female"
92,3,"peace","war","20yr",31,"female"
93,2,"peace","war","1yr",34,"male"
93,4,"peace","war","20yr",34,"male"
94,2,"peace","war","1yr",20,"male"
94,4,"peace","war","20yr",20,"male"
95,2,"peace","war","1yr",42,"female"
95,4,"peace","war","20yr",42,"female"
96,2,"peace","war","1yr",36,"female"
96,5,"peace","war","20yr",36,"female"
97,2,"peace","war","1yr",21,"male"
97,5,"peace","war","20yr",21,"male"
98,2,"peace","war","1yr",26,"female"
98,5,"peace","war","20yr",26,"female"
99,2,"peace","war","1yr",23,"male"
99,5,"peace","war","20yr",23,"male"
100,2,"peace","war","1yr",32,"male"
100,5,"peace","war","20yr",32,"male"
101,2,"peace","war","1yr",40,"female"
101,5,"peace","war","20yr",40,"female"
102,2,"peace","war","1yr",23,"male"
102,5,"peace","war","20yr",23,"male"
103,2,"peace","war","1yr",30,"male"
103,5,"peace","war","20yr",30,"male"
104,2,"peace","war","1yr",38,"female"
104,5,"peace","war","20yr",38,"female"
105,2,"peace","war","1yr",46,"male"
105,6,"peace","war","20yr",46,"male"
106,2,"peace","war","1yr",22,"male"
106,6,"peace","war","20yr",22,"male"
107,2,"peace","war","1yr",27,"male"
107,6,"peace","war","20yr",27,"male"
108,2,"peace","war","1yr",36,"male"
108,6,"peace","war","20yr",36,"male"
109,2,"peace","war","1yr",51,"male"
109,6,"peace","war","20yr",51,"male"
110,2,"peace","war","1yr",23,"female"
110,7,"peace","war","20yr",23,"female"
111,3,"peace","war","1yr",35,"female"
111,5,"peace","war","20yr",35,"female"
112,3,"peace","war","1yr",39,"male"
112,5,"peace","war","20yr",39,"male"
113,3,"peace","war","1yr",33,"male"
113,5,"peace","war","20yr",33,"male"
114,3,"peace","war","1yr",29,"male"
114,5,"peace","war","20yr",29,"male"
115,3,"peace","war","1yr",44,"female"
115,5,"peace","war","20yr",44,"female"
116,3,"peace","war","1yr",24,"female"
116,5,"peace","war","20yr",24,"female"
117,3,"peace","war","1yr",23,"female"
117,6,"peace","war","20yr",23,"female"
118,3,"peace","war","1yr",24,"male"
118,6,"peace","war","20yr",24,"male"
119,3,"peace","war","1yr",25,"female"
119,7,"peace","war","20yr",25,"female"
120,4,"peace","war","1yr",47,"female"
120,4,"peace","war","20yr",47,"female"
121,4,"peace","war","1yr",29,"male"
121,4,"peace","war","20yr",29,"male"
122,4,"peace","war","1yr",38,"male"
122,4,"peace","war","20yr",38,"male"
123,4,"peace","war","1yr",21,"male"
123,4,"peace","war","20yr",21,"male"
124,4,"peace","war","1yr",33,"male"
124,4,"peace","war","20yr",33,"male"
125,4,"peace","war","1yr",43,"female"
125,4,"peace","war","20yr",43,"female"
126,4,"peace","war","1yr",27,"female"
126,5,"peace","war","20yr",27,"female"
127,4,"peace","war","1yr",41,"female"
127,5,"peace","war","20yr",41,"female"
128,4,"peace","war","1yr",27,"female"
128,5,"peace","war","20yr",27,"female"
129,4,"peace","war","1yr",34,"male"
129,5,"peace","war","20yr",34,"male"
130,4,"peace","war","1yr",38,"female"
130,5,"peace","war","20yr",38,"female"
131,4,"peace","war","1yr",19,"male"
