"gender","age","format","purchased","amount","meanval","elength"
"male",21,"quantity-integrated",0,0,0.453125,230
"female",35,"quantity-integrated",0,0,0.032258065,45
"female",60,"quantity-sequential",0,0,0.09375,29
"male",33,"quantity-integrated",0,0,0.471428571,130
"female",30,"quantity-sequential",0,0,0.4,195
"female",45,"quantity-integrated",0,0,0.348484848,180
"female",22,"quantity-sequential",0,0,0.515625,172
"female",54,"quantity-sequential",0,0,0.403225806,146
"female",31,"quantity-integrated",1,1,0.676470588,224
"female",22,"quantity-integrated",1,1,0.803030303,293
"male",63,"quantity-integrated",1,2,0.483870968,120
"female",30,"quantity-sequential",0,0,0.397058824,122
"male",59,"quantity-integrated",0,0,0.272727273,189
"female",39,"quantity-sequential",0,0,0.439393939,158
"female",32,"quantity-sequential",1,1,0.666666667,192
"female",42,"quantity-integrated",0,0,0.651515152,296
"female",42,"quantity-sequential",0,0,0.632352941,265
"male",34,"quantity-integrated",0,0,0.467741935,166
"female",55,"quantity-sequential",0,0,0.534482759,91
"female",58,"quantity-integrated",0,0,0.203125,134
"male",28,"quantity-sequential",0,0,0.53125,231
"male",63,"quantity-integrated",1,1,0.603448276,54
"male",23,"quantity-sequential",0,0,0.742424242,224
"male",34,"quantity-sequential",0,0,0.242424242,84
"female",18,"quantity-integrated",0,0,0.327586207,99
"female",30,"quantity-integrated",0,0,0.318181818,160
"female",28,"quantity-sequential",0,0,0.25,112
"female",42,"quantity-sequential",0,0,0.257575758,97
"female",66,"quantity-sequential",0,0,0.45,24
"male",33,"quantity-sequential",0,0,0.515151515,334
"male",40,"quantity-integrated",0,0,0.129032258,48
"female",25,"quantity-sequential",0,0,0.171875,48
"female",50,"quantity-integrated",1,1,0.34375,184
"male",30,"quantity-sequential",0,0,0.596774194,202
"male",47,"quantity-integrated",0,0,0.21875,122
"male",49,"quantity-integrated",0,0,0.212121212,117
"male",30,"quantity-integrated",0,0,0.439393939,266
"female",26,"quantity-integrated",0,0,0.379310345,173
"female",61,"quantity-sequential",0,0,0.189655172,176
"female",53,"quantity-sequential",0,0,0.382352941,177
"male",28,"quantity-sequential",0,0,0.455882353,224
"male",23,"quantity-sequential",0,0,0.181818182,117
"male",25,"quantity-integrated",1,1,0.290322581,84
