"condition","order","conf_dying","expertise","ease_imagining","gender"
"no video","pilot first",0,5,1,2
"no video","dying first",4,4,5,2
"no video","dying first",61,5,5,1
"video","dying first",31,5,5,2
"no video","dying first",13,5,1,2
"video","pilot first",0,5,5,3
"no video","dying first",30,5,2,2
"video","dying first",0,5,5,2
"no video","dying first",10,5,2,1
"video","pilot first",10,3,3,1
"no video","pilot first",99,4,1,1
"video","dying first",69,5,3,3
"no video","dying first",92,5,2,2
"no video","pilot first",30,5,2,1
"no video","pilot first",7,5,2,2
"video","dying first",74,4,1,2
"no video","dying first",20,5,4,1
"video","dying first",65,4,2,2
"video","dying first",0,5,5,2
"no video","pilot first",9,5,1,2
"no video","dying first",25,4,2,2
"video","pilot first",41,5,4,2
"no video","pilot first",10,5,1,1
"video","dying first",4,5,3,2
"no video","dying first",0,5,3,2
"video","dying first",1,5,2,2
"video","dying first",20,5,5,2
"no video","pilot first",77,4,2,2
"video","dying first",51,5,2,2
"no video","dying first",30,5,5,1
"no video","dying first",50,5,4,2
"video","dying first",0,5,5,2
"no video","dying first",40,5,1,2
"video","dying first",10,5,2,2
"no video","pilot first",100,2,1,1
"no video","dying first",51,4,2,1
"no video","dying first",83,5,1,2
"video","dying first",10,5,2,1
"video","dying first",55,5,3,1
"no video","pilot first",8,5,1,2
"video","dying first",20,1,5,2
"video","pilot first",9,5,3,2
"video","pilot first",51,4,3,2
"no video","pilot first",51,1,2,1
"no video","dying first",22,5,5,2
"video","pilot first",79,4,3,1
"no video","dying first",0,5,5,2
"no video","dying first",30,1,4,2
"video","dying first",70,3,3,2
"no video","pilot first",7,5,5,2
"no video","dying first",4,1,3,1
"video","dying first",30,5,4,2
"video","dying first",5,4,5,2
"no video","dying first",17,5,1,1
"no video","pilot first",70,5,2,2
"video","pilot first",0,5,5,2
"no video","dying first",90,1,5,2
"no video","pilot first",24,1,5,1
"no video","dying first",75,5,1,1
"no video","dying first",62,1,1,2
"no video","pilot first",0,5,5,2
"video","pilot first",83,5,2,1
"no video","pilot first",14,5,5,1
"video","dying first",60,5,3,2
"video","pilot first",1,1,3,1
"video","pilot first",0,5,2,1
"no video","dying first",0,5,1,2
"video","dying first",23,5,1,1
"no video","pilot first",50,5,2,2
"no video","pilot first",10,5,1,2
"video","dying first",5,5,5,1
"video","pilot first",70,4,3,1
"no video","dying first",20,5,3,2
