"condition","mvignette","dog","trolley","wallet","plane","resume","kitten","age","gender"
"cleanliness",5,7,4,3,7,2,7,20,"male"
"control",5.33333333333333,7,5,4,7,4,5,18,"female"
"control",5.16666666666667,7,3,5,7,5,4,20,"female"
"control",6.16666666666667,7,4,7,6,6,7,22,"female"
"cleanliness",6.16666666666667,7,2,7,7,7,7,18,"female"
"cleanliness",6.16666666666667,6,3,7,7,7,7,25,"male"
"control",5.5,6,1,7,7,5,7,19,"female"
"cleanliness",4.5,5,3,3,5,5,6,22,"male"
"control",5.16666666666667,6,3,5,7,3,7,19,"female"
"control",5.33333333333333,4,3,6,7,6,6,21,"female"
"cleanliness",6,7,3,6,6,7,7,20,"female"
"cleanliness",6.33333333333333,7,3,7,7,7,7,19,"female"
"cleanliness",4.33333333333333,4,3,5,5,6,3,18,"female"
"control",6.33333333333333,6,4,7,7,7,7,19,"female"
"cleanliness",5.5,7,5,4,7,3,7,20,"female"
"cleanliness",6.5,7,4,7,7,7,7,18,"female"
"control",5.83333333333333,7,4,6,5,7,6,19,"female"
"control",6,7,3,7,7,5,7,20,"female"
"cleanliness",5.16666666666667,3,4,6,7,4,7,18,"female"
