"prior","post","condition"
25,28,"consensus"
22,-83,"BoostPlus"
90,0,"Boost"
26,-100,"BoostPlus"
84,1,"BoostPlus"
26,-41,"consensus"
42,0,"consensus"
70,18,"Boost"
70,76,"BoostPlus"
52,32,"Boost"
64,56,"Boost"
66,39,"BoostPlus"
78,49,"BoostPlus"
70,60,"consensus"
62,43,"Boost"
21,-63,"consensus"
89,-66,"BoostPlus"
71,-18,"consensus"
41,-40,"BoostPlus"
100,-82,"Boost"
68,63,"Boost"
85,22,"BoostPlus"
20,-70,"BoostPlus"
100,84,"Boost"
83,-44,"Boost"
70,70,"consensus"
100,-84,"Boost"
49,53,"consensus"
100,95,"Boost"
23,-28,"consensus"
100,-82,"BoostPlus"
83,91,"consensus"
90,90,"Boost"
75,70,"BoostPlus"
30,30,"BoostPlus"
22,41,"Boost"
20,0,"BoostPlus"
92,89,"consensus"
54,-68,"BoostPlus"
43,-98,"consensus"
57,21,"consensus"
100,100,"Boost"
100,100,"Boost"
7,-1,"consensus"
22,70,"consensus"
50,-81,"Boost"
75,75,"BoostPlus"
75,60,"Boost"
60,55,"Boost"
20,-37,"consensus"
75,-31,"consensus"
50,-95,"BoostPlus"
38,-69,"BoostPlus"
100,100,"Boost"
84,72,"Boost"
19,-24,"BoostPlus"
100,-41,"BoostPlus"
61,-51,"consensus"
24,37,"Boost"
87,0,"BoostPlus"
73,-44,"consensus"
93,95,"consensus"
100,100,"BoostPlus"
20,0,"Boost"
76,75,"Boost"
90,60,"Boost"
100,100,"Boost"
90,41,"BoostPlus"
96,100,"BoostPlus"
97,62,"consensus"
20,0,"BoostPlus"
64,50,"Boost"
30,-50,"BoostPlus"
47,46,"consensus"
90,56,"Boost"
20,-41,"consensus"
22,-60,"BoostPlus"
91,84,"Boost"
62,37,"BoostPlus"
80,81,"consensus"
61,60,"Boost"
85,-24,"BoostPlus"
100,100,"consensus"
93,83,"Boost"
83,100,"Boost"
80,41,"consensus"
9,40,"Boost"
21,10,"consensus"
81,-25,"BoostPlus"
72,22,"consensus"
33,-73,"Boost"
40,40,"BoostPlus"
70,75,"BoostPlus"
98,100,"Boost"
33,41,"consensus"
40,-88,"BoostPlus"
41,-60,"consensus"
100,-41,"BoostPlus"
42,49,"BoostPlus"
86,63,"Boost"
1,-22,"consensus"
23,20,"Boost"
44,25,"consensus"
35,65,"Boost"
60,58,"consensus"
81,-41,"Boost"
100,0,"consensus"
43,45,"consensus"
50,40,"consensus"
75,-40,"BoostPlus"
90,90,"consensus"
61,-62,"consensus"
70,-26,"BoostPlus"
42,20,"BoostPlus"
40,-60,"Boost"
61,-27,"BoostPlus"
11,5,"BoostPlus"
30,30,"Boost"
40,-90,"Boost"
22,-26,"Boost"
100,80,"Boost"
100,100,"BoostPlus"
39,-24,"Boost"
100,100,"Boost"
62,-19,"Boost"
76,12,"consensus"
21,-58,"BoostPlus"
44,-20,"consensus"
20,-20,"consensus"
20,82,"BoostPlus"
75,-40,"consensus"
25,15,"Boost"
100,90,"consensus"
95,95,"BoostPlus"
57,0,"consensus"
62,62,"consensus"
20,19,"consensus"
71,62,"Boost"
48,43,"Boost"
75,30,"Boost"
30,-47,"BoostPlus"
84,0,"Boost"
19,-68,"Boost"
95,95,"consensus"
63,72,"BoostPlus"
80,-20,"consensus"
85,72,"BoostPlus"
42,-18,"BoostPlus"
45,-42,"Boost"
92,81,"BoostPlus"
37,24,"consensus"
74,-16,"consensus"
100,20,"BoostPlus"
25,-34,"Boost"
50,-90,"consensus"
70,1,"Boost"
100,100,"consensus"
20,-62,"Boost"
100,50,"BoostPlus"
22,-100,"Boost"
75,66,"BoostPlus"
