"text","image","expected","count"
"1","1","one",41
"1","1","six",5
"1","1","not sure",5
"1","6","one",40
"1","6","six",7
"1","6","not sure",5
"6","1","one",13
"6","1","six",30
"6","1","not sure",4
"6","6","one",4
"6","6","six",38
"6","6","not sure",8
