"nerror","adaptation","fontsize","position","id","acuity"
0,"PA","0","2","16","normal"
0,"PA","0","3","16","normal"
0,"PA","0","4","16","normal"
0,"PA","0","5","16","normal"
0,"AC","0","1","16","normal"
0,"AC","0","2","16","normal"
0,"AC","0","3","16","normal"
0,"AC","0","4","16","normal"
0,"AC","0","5","16","normal"
4,"PA","-0.3","1","32","normal"
4,"PA","-0.3","2","32","normal"
4,"PA","-0.3","3","32","normal"
4,"PA","-0.3","4","32","normal"
3,"PA","-0.3","5","32","normal"
4,"AC","-0.3","1","32","normal"
4,"AC","-0.3","2","32","normal"
4,"AC","-0.3","3","32","normal"
4,"AC","-0.3","4","32","normal"
4,"AC","-0.3","5","32","normal"
1,"PA","-0.2","1","32","normal"
2,"PA","-0.2","2","32","normal"
2,"PA","-0.2","3","32","normal"
1,"PA","-0.2","4","32","normal"
2,"PA","-0.2","5","32","normal"
0,"AC","-0.2","1","32","normal"
0,"AC","-0.2","2","32","normal"
0,"AC","-0.2","3","32","normal"
0,"AC","-0.2","4","32","normal"
1,"AC","-0.2","5","32","normal"
0,"PA","-0.1","1","32","normal"
0,"PA","-0.1","2","32","normal"
1,"PA","-0.1","3","32","normal"
0,"PA","-0.1","4","32","normal"
0,"PA","-0.1","5","32","normal"
0,"AC","-0.1","1","32","normal"
0,"AC","-0.1","2","32","normal"
1,"AC","-0.1","3","32","normal"
1,"AC","-0.1","4","32","normal"
0,"AC","-0.1","5","32","normal"
0,"PA","0","1","32","normal"
0,"PA","0","2","32","normal"
0,"PA","0","3","32","normal"
0,"PA","0","4","32","normal"
0,"PA","0","5","32","normal"
0,"AC","0","1","32","normal"
0,"AC","0","2","32","normal"
0,"AC","0","3","32","normal"
0,"AC","0","4","32","normal"
0,"AC","0","5","32","normal"
4,"PA","-0.3","1","44","normal"
4,"PA","-0.3","2","44","normal"
4,"PA","-0.3","3","44","normal"
4,"PA","-0.3","4","44","normal"
4,"PA","-0.3","5","44","normal"
4,"AC","-0.3","1","44","normal"
4,"AC","-0.3","2","44","normal"
4,"AC","-0.3","3","44","normal"
4,"AC","-0.3","4","44","normal"
4,"AC","-0.3","5","44","normal"
1,"PA","-0.2","1","44","normal"
1,"PA","-0.2","2","44","normal"
1,"PA","-0.2","3","44","normal"
1,"PA","-0.2","4","44","normal"
1,"PA","-0.2","5","44","normal"
0,"AC","-0.2","1","44","normal"
0,"AC","-0.2","2","44","normal"
1,"AC","-0.2","3","44","normal"
0,"AC","-0.2","4","44","normal"
0,"AC","-0.2","5","44","normal"
0,"PA","-0.1","1","44","normal"
0,"PA","-0.1","2","44","normal"
1,"PA","-0.1","3","44","normal"
0,"PA","-0.1","4","44","normal"
0,"PA","-0.1","5","44","normal"
0,"AC","-0.1","1","44","normal"
0,"AC","-0.1","2","44","normal"
1,"AC","-0.1","3","44","normal"
0,"AC","-0.1","4","44","normal"
0,"AC","-0.1","5","44","normal"
0,"PA","0","1","44","normal"
0,"PA","0","2","44","normal"
0,"PA","0","3","44","normal"
0,"PA","0","4","44","normal"
0,"PA","0","5","44","normal"
0,"AC","0","1","44","normal"
0,"AC","0","2","44","normal"
0,"AC","0","3","44","normal"
0,"AC","0","4","44","normal"
0,"AC","0","5","44","normal"
4,"PA","-0.3","1","18","normal"
4,"PA","-0.3","2","18","normal"
4,"PA","-0.3","3","18","normal"
4,"PA","-0.3","4","18","normal"
4,"PA","-0.3","5","18","normal"
4,"AC","-0.3","1","18","normal"
4,"AC","-0.3","2","18","normal"
4,"AC","-0.3","3","18","normal"
4,"AC","-0.3","4","18","normal"
3,"AC","-0.3","5","18","normal"
0,"PA","-0.2","1","18","normal"
0,"PA","-0.2","2","18","normal"
1,"PA","-0.2","3","18","normal"
1,"PA","-0.2","4","18","normal"
2,"PA","-0.2","5","18","normal"
0,"AC","-0.2","1","18","normal"
0,"AC","-0.2","2","18","normal"
0,"AC","-0.2","3","18","normal"
0,"AC","-0.2","4","18","normal"
0,"AC","-0.2","5","18","normal"
0,"PA","-0.1","1","18","normal"
0,"PA","-0.1","2","18","normal"
0,"PA","-0.1","3","18","normal"
0,"PA","-0.1","4","18","normal"
1,"PA","-0.1","5","18","normal"
0,"AC","-0.1","1","18","normal"
0,"AC","-0.1","2","18","normal"
0,"AC","-0.1","3","18","normal"
0,"AC","-0.1","4","18","normal"
1,"AC","-0.1","5","18","normal"
0,"PA","0","1","18","normal"
0,"PA","0","2","18","normal"
0,"PA","0","3","18","normal"
0,"PA","0","4","18","normal"
0,"PA","0","5","18","normal"
0,"AC","0","1","18","normal"
0,"AC","0","2","18","normal"
0,"AC","0","3","18","normal"
0,"AC","0","4","18","normal"
0,"AC","0","5","18","normal"
4,"PA","-0.3","1","42","normal"
4,"PA","-0.3","2","42","normal"
4,"PA","-0.3","3","42","normal"
4,"PA","-0.3","4","42","normal"
4,"PA","-0.3","5","42","normal"
4,"AC","-0.3","1","42","normal"
4,"AC","-0.3","2","42","normal"
4,"AC","-0.3","3","42","normal"
4,"AC","-0.3","4","42","normal"
4,"AC","-0.3","5","42","normal"
0,"PA","-0.2","1","42","normal"
