"change","regfocus","fluency","engagement","fairness","dopenness","promem","prevem","gender","age","tenure","hours_week"
"negative","prevention",6,7,4.16666666666667,4.25,3.44444444444444,4.77777777777778,"female",49,29,40
"negative","promotion",1.66666666666667,1.66666666666667,1.33333333333333,1.375,3.77777777777778,3.77777777777778,"female",51,32,NA
"negative","promotion",3.33333333333333,2,1,1.5,3.88888888888889,4.77777777777778,"female",43,NA,NA
"positive","promotion",4,4.66666666666667,2,2.75,4,4.11111111111111,"female",45,23,18
"negative","prevention",5,4,2.5,2.625,5,5,"female",37,13,NA
"positive","promotion",3,1,1.33333333333333,1,3,3.44444444444444,"female",52,30,22
"negative","prevention",3.33333333333333,1,2.66666666666667,2.875,3.44444444444444,4.77777777777778,"male",51,28,40
"negative","prevention",7,4,1.16666666666667,1.625,3.77777777777778,4.22222222222222,"female",45,21,26
"negative","prevention",4,4.33333333333333,1,1.625,3.75,4.33333333333333,"female",41,18,NA
"negative","prevention",6.33333333333333,5,1,1,4.77777777777778,4.77777777777778,"female",38,12,40
"positive","promotion",6,7,1,3.5,4.33333333333333,4.55555555555556,"female",44,20,34
"positive","promotion",4.66666666666667,4,3,2.5,4.22222222222222,4.66666666666667,"female",44,24,20
"positive","prevention",2,2.66666666666667,1,1.125,4.66666666666667,4.77777777777778,"female",36,10,22
"positive","prevention",6,6,3,3.875,3.44444444444444,3.66666666666667,"female",50,26,38
"negative","prevention",3,4,1.5,2.875,4.55555555555556,4.66666666666667,"female",29,5,29
"negative","prevention",4.66666666666667,4.66666666666667,2.83333333333333,3,3.66666666666667,4.44444444444444,"female",50,28,25
"negative","promotion",3.66666666666667,2,1,1.375,3,3.66666666666667,"female",48,14,40
"negative","prevention",4.33333333333333,4.33333333333333,1,1.5,3.66666666666667,4.33333333333333,"female",50,30,45
"positive","prevention",4,2.66666666666667,1.33333333333333,1,3.77777777777778,3.11111111111111,"female",40,15,40
"positive","prevention",5.33333333333333,5,2.33333333333333,1.375,3.75,4.66666666666667,"female",40,22,18
"negative","prevention",5,1.66666666666667,1,3,3.22222222222222,2.88888888888889,"female",30,NA,18
"positive","promotion",3,1,2,2.875,4.66666666666667,4.77777777777778,"female",30,10,28
"positive","promotion",6.33333333333333,5.66666666666667,2.6,4,3.55555555555556,4.66666666666667,"female",48,27,27
"negative","prevention",6,2.33333333333333,1,1,3.88888888888889,4.11111111111111,"female",36,12,40
"negative","prevention",6,3.66666666666667,1.16666666666667,2.875,3.88888888888889,4.66666666666667,"female",56,27,22
"positive","prevention",4,5,2,3,3.88888888888889,4.55555555555556,"female",60,NA,24
"positive","promotion",5.66666666666667,4.33333333333333,3,2.75,3.77777777777778,4.77777777777778,"female",46,26,28
"negative","promotion",4,3,1.33333333333333,1.25,3.66666666666667,4.88888888888889,"female",57,35,6
"negative","prevention",6,2.33333333333333,1,1,3.66666666666667,4.44444444444444,"female",36,10,40
"negative","prevention",3.66666666666667,5.66666666666667,2.83333333333333,2,4.33333333333333,4.44444444444444,"male",23,1,28
"positive","prevention",7,4,1.33333333333333,2.875,4.66666666666667,4.88888888888889,"female",29,8,25
"positive","promotion",7,4.66666666666667,1,1.875,3.66666666666667,4.77777777777778,"female",39,13,42
"positive","promotion",3,1,1.33333333333333,1,3,3.44444444444444,"female",52,29,20
"negative","promotion",2,3,1,1,3.11111111111111,3.88888888888889,"male",54,30,3
"negative","promotion",5.33333333333333,4.33333333333333,1.5,3.125,3.66666666666667,4.55555555555556,"female",48,26,46
"negative","prevention",3,6,1.16666666666667,1.125,4.11111111111111,3.77777777777778,"male",56,32,25
"negative","prevention",4,4.33333333333333,1.33333333333333,2.875,3.44444444444444,3.66666666666667,"female",45,22,42
"negative","prevention",4,4.33333333333333,1,1.625,3.75,4.33333333333333,"female",41,17,40
"negative","prevention",7,4,1,1.25,3.77777777777778,4.66666666666667,"female",34,7,15
"positive","promotion",4,4.33333333333333,5,4.42857142857143,4.22222222222222,4.33333333333333,"female",39,17,26
"positive","prevention",7,3,1.66666666666667,2.5,4,4.22222222222222,"female",65,35,24
"positive","prevention",5.66666666666667,3.33333333333333,1.33333333333333,1.625,3,2.88888888888889,"female",57,36,20
"negative","promotion",1,4,1.66666666666667,1,3.88888888888889,4.66666666666667,"male",51,2,25
"positive","promotion",6,5.66666666666667,1,2.75,3.11111111111111,4.22222222222222,"female",52,27,24
"positive","promotion",2.66666666666667,2.66666666666667,1,1.375,4.22222222222222,4.88888888888889,"female",27,3,27
"positive","promotion",2.33333333333333,3.33333333333333,1,2.25,3.33333333333333,4.77777777777778,"female",53,29,28
"positive","promotion",3.33333333333333,3.33333333333333,1.66666666666667,3,3.44444444444444,5,"female",50,30,45
"negative","prevention",5,4,2.5,2.625,5,5,"female",37,13,NA
"negative","prevention",4.33333333333333,6,1,1.75,2.88888888888889,3.55555555555556,"female",53,25,26
"positive","prevention",6,6,3,3.875,3.44444444444444,3.66666666666667,"female",51,28,40
"positive","prevention",7,4,1.33333333333333,2.875,4.66666666666667,4.88888888888889,"female",29,7,26
"negative","prevention",3,3,1,1.625,4.22222222222222,5,"female",60,32,18
"negative","promotion",6,3.66666666666667,1.33333333333333,1.25,3.33333333333333,4.77777777777778,"female",40,17,45
"positive","prevention",5,3.33333333333333,2.5,2.75,3.11111111111111,4.22222222222222,"female",55,36,20
"negative","promotion",2.33333333333333,7,1,1.125,4.11111111111111,4.22222222222222,"female",41,20,24
"negative","promotion",4,4.33333333333333,4,4.5,4,4.11111111111111,"female",60,35,30
"negative","prevention",7,2.33333333333333,2.16666666666667,2.75,2.55555555555556,4.22222222222222,"female",42,9,26
"positive","promotion",2.33333333333333,3.33333333333333,1,2.25,3.33333333333333,4.77777777777778,"female",53,30,28
"negative","prevention",2.66666666666667,3.66666666666667,1,1,3.22222222222222,3.44444444444444,"female",52,21,40
"negative","prevention",6,3.66666666666667,1.16666666666667,2.875,3.88888888888889,4.66666666666667,"female",56,NA,21
"negative","promotion",1,4,1.66666666666667,1,3.88888888888889,4.66666666666667,"female",51,2,25
"positive","promotion",2.66666666666667,2,1.16666666666667,1.5,3.88888888888889,4.88888888888889,"female",34,9,20
"positive","prevention",7,3,1.66666666666667,2.5,4,4.22222222222222,"female",34,11,24
"negative","promotion",5,7,1.2,1,3.55555555555556,4.22222222222222,"female",57,34,20
"positive","prevention",2,2.66666666666667,1,1.125,4.66666666666667,4.77777777777778,"female",36,11,22
"negative","promotion",6,3.66666666666667,1.33333333333333,1.25,3.33333333333333,4.77777777777778,"male",40,17,45
"negative","promotion",6,5,1.66666666666667,1.375,3.44444444444444,4.55555555555556,"female",36,14,40
"positive","promotion",5,6.33333333333333,3.83333333333333,3.5,3.77777777777778,4.44444444444444,"female",38,10,26
"negative","promotion",6,5.33333333333333,2.5,3.125,3.88888888888889,3.33333333333333,"male",32,7,38
"positive","promotion",6,5.66666666666667,1,2.75,3.11111111111111,4.22222222222222,"female",52,26,25
"positive","promotion",5,5,3.83333333333333,2.75,3.88888888888889,3.44444444444444,"female",41,13,47
"negative","prevention",7,4,1,1.25,3.77777777777778,4.66666666666667,"female",36,7,16
"positive","promotion",5,6.33333333333333,3.83333333333333,3.5,3.77777777777778,4.44444444444444,"female",38,10,26
"positive","promotion",4,4,4.16666666666667,3.375,3.22222222222222,3.66666666666667,"female",48,24,4
"negative","prevention",7,4.66666666666667,2.33333333333333,2.5,3.88888888888889,3.88888888888889,"female",51,24,30
"negative","prevention",7,4.66666666666667,2.33333333333333,2.5,3.88888888888889,3.88888888888889,"female",50,24,30
"negative","prevention",3.66666666666667,2,1.5,1.875,3,4,"female",33,3,37
"negative","promotion",3.33333333333333,2,1,1.5,3.88888888888889,4.77777777777778,"female",NA,NA,NA
"positive","prevention",2,4,1,3.5,4,4.66666666666667,"female",39,16,24
"positive","promotion",4,4.33333333333333,5,4.42857142857143,4.22222222222222,4.33333333333333,"female",39,16,26
"positive","prevention",5.66666666666667,4.33333333333333,1.16666666666667,3,3.55555555555556,4.11111111111111,"female",50,27,46
"negative","prevention",4,4.33333333333333,1.33333333333333,2.28571428571429,4.44444444444444,4.55555555555556,"female",32,9,45
"positive","promotion",3,4.66666666666667,1.33333333333333,2,3,4.33333333333333,"female",NA,30,22
"positive","promotion",5.66666666666667,2,1.5,1.75,3.22222222222222,3.88888888888889,"female",44,13,35
"negative","promotion",6.33333333333333,7,2.16666666666667,1.375,3.77777777777778,4.55555555555556,"male",46,19,20
"negative","promotion",6,5.33333333333333,2.5,3.125,3.88888888888889,3.33333333333333,"male",32,7,40
"negative","promotion",1.66666666666667,1.66666666666667,1.33333333333333,1.375,3.77777777777778,3.77777777777778,"female",50,NA,NA
"positive","promotion",3,4.66666666666667,1.33333333333333,2,3,4.33333333333333,"female",NA,30,22
"positive","promotion",6,5.33333333333333,1.33333333333333,4.25,4.33333333333333,3.88888888888889,"female",50,25,22
"positive","promotion",4.66666666666667,4,3,2.5,4.22222222222222,4.66666666666667,"female",45,24,18
"negative","prevention",3,3,1.5,3.125,3.11111111111111,3.66666666666667,"female",26,3,58
"positive","promotion",2.66666666666667,1.66666666666667,1.66666666666667,2.375,3,3.44444444444444,"female",50,29,26
"negative","prevention",5.33333333333333,5,3.33333333333333,2.75,4.22222222222222,4.66666666666667,"female",45,25,18
"positive","promotion",2.66666666666667,2.66666666666667,1,1.375,4.22222222222222,4.88888888888889,"female",27,4,27
"positive","prevention",4,5,2,3,3.88888888888889,4.55555555555556,"female",60,NA,24
"negative","prevention",4,4.33333333333333,1.33333333333333,2.875,3.44444444444444,3.66666666666667,"female",44,21,42
"positive","prevention",2,5,1.33333333333333,2.625,3.22222222222222,3.66666666666667,"female",52,23,24
"positive","promotion",6.33333333333333,6.33333333333333,2.66666666666667,2.875,3.22222222222222,4.77777777777778,"female",45,23,64
"positive","prevention",5.33333333333333,5,2.33333333333333,1.375,3.75,4.66666666666667,"female",45,22,18
"negative","promotion",4,3,1.66666666666667,2.25,3.22222222222222,4.22222222222222,"male",44,19,25
"positive","promotion",2,2.66666666666667,1.33333333333333,2.14285714285714,3.11111111111111,4.88888888888889,"female",52,25,20
"negative","promotion",6,5,1.66666666666667,1.375,3.44444444444444,4.55555555555556,"female",36,16,45
"negative","prevention",3.33333333333333,4.66666666666667,1.16666666666667,1.25,3.55555555555556,4.44444444444444,"female",42,20,19
"positive","promotion",3,1,2,2.875,4.66666666666667,4.77777777777778,"female",31,10,32
"negative","promotion",5.66666666666667,4.66666666666667,3,3.5,4.33333333333333,4.44444444444444,"male",37,15,50
