"id","stimulus","epoch","latency"
"10","GAN1","40",-4.833550389
"10","GAN2","1",-11.72418062
"10","GAN2","2",-16.47175432
"10","GAN2","3",-16.10375436
"10","GAN2","4",-7.054885225
"10","GAN2","5",-11.13337524
"10","GAN2","6",-6.872193754
"10","GAN2","7",-8.063398954
"10","GAN2","8",-1.306199595
"10","GAN2","9",-4.377975213
"10","GAN2","11",-6.740228448
"10","GAN2","12",-1.777449802
"10","GAN2","13",-12.81379612
"10","GAN2","14",-3.756579949
"10","GAN2","15",-6.562955143
"10","GAN2","16",-18.64556577
"10","GAN2","17",-1.40417833
"10","GAN2","19",-9.300075088
"10","GAN2","21",-5.450435984
"10","GAN2","22",-3.581277375
"10","GAN2","23",-7.760629525
"10","GAN2","24",-1.00876699
"10","GAN2","25",-7.551361709
"10","GAN2","26",-1.877408009
"10","GAN2","28",-2.800592414
"10","GAN2","30",-6.829230066
"10","GAN2","31",-2.320200451
"10","GAN2","32",-13.86483848
"10","GAN2","33",-15.04140585
"10","GAN2","35",-4.664658744
"10","GAN2","36",-9.971700451
"10","GAN2","37",-11.19963029
"10","GAN2","39",-9.138996361
"10","GAN2","40",-7.002480315
"11","real","1",-2.69858979
"11","real","2",-15.11952082
"11","real","3",-1.702313932
"11","real","4",-6.689380985
"11","real","5",-11.18244808
"11","real","6",-1.96999062
"11","real","7",-5.033952817
"11","real","8",-2.653468945
"11","real","9",-5.168864895
"11","real","10",-10.35619689
"11","real","11",-6.235551277
"11","real","12",-11.28623157
"11","real","13",-2.593217963
"11","real","14",-1.65661969
"11","real","15",-7.309319423
"11","real","16",-6.972026123
"11","real","17",-9.016941805
"11","real","18",-4.210986995
"11","real","19",-6.279122905
"11","real","20",-7.058881839
"11","real","21",-9.027877565
"11","real","22",-4.181458676
"11","real","23",-6.673801569
"11","real","24",-14.4262058
"11","real","25",-1.248908383
"11","real","26",-0.701541262
"11","real","27",-5.383228813
"11","real","28",-9.703207071
"11","real","29",-3.144598314
"11","real","30",-3.296295043
"11","real","31",-5.791630729
"11","real","32",-8.29317407
"11","real","33",-18.65666869
"11","real","34",-0.187996164
"11","real","35",-8.557551331
"11","real","36",-6.397225277
"11","real","37",-4.948554077
"11","real","38",-13.68833175
"11","real","39",-3.439624646
"11","GAN1","2",-13.10183459
"11","GAN1","3",-4.512008544
"11","GAN1","5",-8.668334651
"11","GAN1","6",-5.673707741
"11","GAN1","7",-9.459020674
"11","GAN1","8",-17.18082959
"11","GAN1","9",-14.72979415
"11","GAN1","10",-19.92756166
"11","GAN1","11",-14.93832196
"11","GAN1","12",-5.293375628
"11","GAN1","13",-20.35059341
"11","GAN1","14",-8.597228159
"11","GAN1","15",-9.762554738
"11","GAN1","17",-6.764619133
"11","GAN1","19",-12.19562665
"11","GAN1","20",-3.203545457
"11","GAN1","21",-12.01599227
"11","GAN1","22",-9.999024378
"11","GAN1","23",-1.537131659
"11","GAN1","24",-7.019452542
"11","GAN1","25",-6.49672841
"11","GAN1","26",-2.616337005
"11","GAN1","27",-7.192703445
"11","GAN1","28",-8.11262256
"11","GAN1","29",-2.690613637
"11","GAN1","30",-7.445370627
"11","GAN1","31",-2.951001462
"11","GAN1","33",-6.459183128
"11","GAN1","34",-4.529761174
"11","GAN1","35",-13.67116688
"11","GAN1","36",-2.026636491
"11","GAN1","37",-3.356409872
"11","GAN1","38",-12.9805584
"11","GAN1","39",-10.07725601
"11","GAN1","40",-5.294567041
"11","GAN2","1",-15.15772016
"11","GAN2","2",-13.80667862
"11","GAN2","4",-9.924273012
"11","GAN2","6",-15.98360427
"11","GAN2","7",-6.856819055
"11","GAN2","8",-6.926221401
"11","GAN2","9",-7.681183604
"11","GAN2","10",-5.503402242
"11","GAN2","11",-10.48112049
"11","GAN2","12",-7.153806833
"11","GAN2","13",-15.25498073
"11","GAN2","14",-9.964477146
"11","GAN2","15",-13.88890207
"11","GAN2","16",-4.052091904
"11","GAN2","17",-10.04543836
"11","GAN2","18",-12.36974509
"11","GAN2","19",-10.21354147
"11","GAN2","20",-8.205500025
"11","GAN2","21",-8.629898458
"11","GAN2","22",-9.182134214
"11","GAN2","23",-11.5422697
"11","GAN2","24",-13.90581864
"11","GAN2","25",-8.21543753
"11","GAN2","27",-4.011358355
"11","GAN2","28",-8.729992325
"11","GAN2","29",-8.308883741
"11","GAN2","30",-7.234425351
"11","GAN2","31",-6.877388353
"11","GAN2","32",-15.67359948
"11","GAN2","33",-9.387741534
"11","GAN2","34",-3.141754518
"11","GAN2","35",-4.826097988
"11","GAN2","37",-2.837634938
"11","GAN2","38",-15.53673661
"11","GAN2","39",-7.342337012
"12","real","1",-7.727251267
"12","real","2",-6.143535721
"12","real","3",-14.82480874
"12","real","5",-4.025947347
"12","real","7",-8.357304102
"12","real","8",-5.967393698
"12","real","9",-14.04902412
"12","real","10",-7.251406229
"12","real","11",-7.694685316
"12","real","12",-5.844327149
"12","real","13",-8.097379636
"12","real","14",-7.361727935
"12","real","16",-4.344829669
"12","real","17",-4.575283931
"12","real","18",-11.86467841
"12","real","19",-4.189567679
"12","real","20",-1.732946896
"12","real","21",-1.368027974
"12","real","23",-7.201392789
"12","real","24",-3.923313376
"12","real","25",-5.152058686
"12","real","26",-10.56548515
"12","real","27",-8.605687001
"12","real","28",-5.986042285
"12","real","29",-6.779504657
"12","real","30",-5.405021918
"12","real","31",-8.290460337
"12","real","32",-6.777366465
"12","real","35",-13.45205929
"12","real","36",-1.203446964
"12","real","37",-3.630602451
"12","real","39",-2.727708329
"12","real","40",-6.859484049
"12","GAN1","2",-3.412609255
"12","GAN1","3",-12.58863056
"12","GAN1","4",-7.45310331
"12","GAN1","5",-13.66974357
"12","GAN1","6",-48.61441122
"12","GAN1","7",-6.614983896
"12","GAN1","8",-9.780709823
"12","GAN1","9",-5.624306333
"12","GAN1","10",-5.513117822
"12","GAN1","11",-13.80013558
"12","GAN1","12",-9.081073419
"12","GAN1","14",-4.113176798
"12","GAN1","15",-11.49727194
"12","GAN1","16",-4.253556821
"12","GAN1","17",-7.741774701
"12","GAN1","18",-8.530957512
"12","GAN1","19",-6.03835741
"12","GAN1","20",-3.108875447
"12","GAN1","21",-5.07129195
"12","GAN1","23",-1.744428023
"12","GAN1","24",-9.700015562
"12","GAN1","26",-5.302290721
"12","GAN1","27",-9.671486497
"12","GAN1","28",-3.865298715
"12","GAN1","29",-12.35405931
"12","GAN1","30",-9.042699932
"12","GAN1","31",-16.59206964
"12","GAN1","32",-8.56497771
"12","GAN1","33",-7.943498034
"12","GAN1","35",-3.786749336
"12","GAN1","36",-8.854599288
"12","GAN1","37",-7.817949928
"12","GAN1","38",-5.983398528
"12","GAN1","39",-6.402920177
"12","GAN2","1",-2.500468999
"12","GAN2","2",-13.68032801
"12","GAN2","3",-1.611569564
"12","GAN2","4",-8.927336479
"12","GAN2","6",-2.824648965
"12","GAN2","7",-5.681781765
"12","GAN2","8",-6.733692207
"12","GAN2","9",-0.877971461
"12","GAN2","11",-12.55480704
"12","GAN2","13",-15.36257476
"12","GAN2","14",-2.081729836
"12","GAN2","15",-1.53932384
"12","GAN2","16",-5.655064138
"12","GAN2","17",-6.577329324
"12","GAN2","18",-5.570428809
"12","GAN2","20",-11.51765177
"12","GAN2","22",-2.41555121
"12","GAN2","23",-2.923930333
"12","GAN2","24",-5.194039661
"12","GAN2","25",-6.670678188
"12","GAN2","26",-7.402840022
"12","GAN2","27",-24.11381897
"12","GAN2","28",-6.92551631
"12","GAN2","29",-2.771846804
"12","GAN2","30",-5.483195455
"12","GAN2","31",-3.583385473
"12","GAN2","32",-7.99131075
"12","GAN2","33",-5.119541569
"12","GAN2","35",-3.539762924
"12","GAN2","36",-5.186576677
"12","GAN2","37",-6.322768764
"12","GAN2","38",-2.169348821
"2","real","2",-1.171388482
"2","real","3",-0.776203869
"2","real","4",-14.82522467
"2","real","5",-15.25954709
"2","real","6",-12.75498996
"2","real","7",-3.170128319
"2","real","8",-7.706122991
"2","real","9",-15.28209399
"2","real","10",-7.71042349
"2","real","11",-10.04090606
"2","real","12",-7.588877968
"2","real","13",-21.15235358
"2","real","14",-24.8874649
"2","real","15",-7.808583415
"2","real","16",-7.933060233
"2","real","17",-24.22269385
"2","real","19",-0.388621642
"2","real","20",-17.50004952
"2","real","21",-13.35238924
"2","real","22",-4.925169114
"2","real","23",-4.562199008
"2","real","24",-13.16523211
"2","real","25",-22.17229108
"2","real","26",-8.243534086
"2","real","27",-16.65747921
"2","real","28",-6.837496603
"2","real","29",-9.596343611
"2","real","30",-28.85150428
"2","real","31",-7.744999133
"2","real","32",-5.920029198
"2","real","33",-11.07031667
"2","real","35",-13.07442009
"2","GAN1","1",-17.36335294
"2","GAN1","2",-20.11985952
"2","GAN1","3",-3.491838517
"2","GAN1","4",-7.685071744
"2","GAN1","5",-21.69048407
"2","GAN1","6",-19.65302453
"2","GAN1","7",-11.87986139
"2","GAN1","8",-6.374243331
"2","GAN1","9",-5.612500691
"2","GAN1","10",-10.24441055
"2","GAN1","11",-9.858777511
"2","GAN1","12",-10.9249002
"2","GAN1","14",-5.153136455
"2","GAN1","15",-18.79800041
"2","GAN1","16",-2.124745019
"2","GAN1","17",-12.44765329
"2","GAN1","18",-9.87818184
"2","GAN1","19",-12.65376736
"2","GAN1","20",-14.65541415
"2","GAN1","21",-13.04764419
"2","GAN1","22",-17.22685885
"2","GAN1","24",-2.756034207
"2","GAN1","25",-3.668919496
"2","GAN1","27",-4.635887586
"2","GAN1","28",-16.00435197
"2","GAN1","29",-19.73414607
"2","GAN1","30",-10.5026129
"2","GAN1","31",-19.63886793
"2","GAN1","32",-13.30960074
"2","GAN1","36",-3.843961315
"2","GAN1","38",-14.16004344
"2","GAN2","1",-7.500613838
"2","GAN2","2",-1.503090327
"2","GAN2","3",-3.243288927
"2","GAN2","4",-10.85931539
"2","GAN2","5",-6.666538713
"2","GAN2","6",-21.1455644
"2","GAN2","7",-6.831529302
"2","GAN2","8",-12.867084
"2","GAN2","9",-17.11912642
"2","GAN2","10",-5.971055126
"2","GAN2","11",-20.72457057
"2","GAN2","12",-12.13465757
"2","GAN2","13",-17.65178475
"2","GAN2","14",-9.940190094
"2","GAN2","15",-15.36981453
"2","GAN2","16",-25.14999868
"2","GAN2","17",-9.861496121
"2","GAN2","18",-9.33884866
"2","GAN2","19",-32.55315
"2","GAN2","21",-17.27628559
"2","GAN2","22",-6.445116553
"2","GAN2","23",-13.95015778
"2","GAN2","24",-20.27843399
"2","GAN2","25",-12.48966408
"2","GAN2","26",-26.38536151
"2","GAN2","27",-16.39530771
"2","GAN2","28",-6.959420231
"2","GAN2","29",-0.998568172
"2","GAN2","30",-13.35681133
"2","GAN2","31",-2.437132422
"2","GAN2","32",-70.53142582
"2","GAN2","33",-2.280917599
"2","GAN2","34",-11.76730385
"3","real","1",-5.821153502
"3","real","2",-6.551115148
"3","real","3",-15.35301459
"3","real","4",-6.409910763
"3","real","5",-6.384198238
"3","real","6",-21.97790454
"3","real","7",-18.06929959
"3","real","8",-11.92670411
"3","real","9",-8.72833118
"3","real","10",-10.20032514
"3","real","11",-0.251102859
"3","real","12",-8.85060796
"3","real","14",-3.428634878
"3","real","16",-3.646357847
"3","real","17",-5.217490196
"3","real","18",-23.48310576
"3","real","19",-20.35854886
"3","real","20",-12.66486857
"3","real","21",-30.27555641
"3","real","22",-14.61926358
"3","real","23",-18.35515814
"3","real","24",-27.12187507
"3","real","25",-21.17015587
"3","real","26",-4.189601088
"3","real","27",-13.27943054
"3","real","28",-32.78990769
"3","real","29",-32.38030251
"3","real","30",-3.395591446
"3","real","31",-9.051513018
"3","real","32",-18.0134679
"3","real","33",-14.71612591
"3","real","34",-4.25618293
"3","real","35",-23.5493641
"3","real","36",-10.01556503
"3","GAN1","1",-5.797048777
"3","GAN1","2",-21.47568624
"3","GAN1","3",-9.436961704
"3","GAN1","4",-4.957932149
"3","GAN1","5",-6.090950237
"3","GAN1","6",-4.613480412
"3","GAN1","7",-5.454927166
"3","GAN1","8",-13.43125523
"3","GAN1","9",-7.952896697
"3","GAN1","10",-17.52305716
"3","GAN1","11",-3.376454225
"3","GAN1","12",-6.066557143
"3","GAN1","13",-14.13951167
"3","GAN1","14",-17.67246158
"3","GAN1","15",-14.10620893
"3","GAN1","16",-3.009825337
"3","GAN1","17",-15.16612481
"3","GAN1","18",-17.43632955
"3","GAN1","19",-13.32214029
"3","GAN1","20",-20.84588566
"3","GAN1","21",-13.95584362
"3","GAN1","22",-23.27746782
"3","GAN1","23",-10.75473454
"3","GAN1","24",-7.992437412
"3","GAN1","25",-7.096773077
"3","GAN1","26",-18.7816504
"3","GAN1","27",-18.10625549
"3","GAN1","28",-7.911443595
"3","GAN1","29",-15.35892052
"3","GAN1","30",-2.071064854
"3","GAN1","31",-15.33088452
"3","GAN1","32",-0.362521495
"3","GAN1","33",-21.72663434
"3","GAN1","34",-20.54200138
"3","GAN1","35",-11.00135245
"3","GAN1","36",-1.845657513
"3","GAN1","37",-16.68452422
"3","GAN1","38",-10.94146036
"3","GAN1","39",-5.22943144
"3","GAN1","40",-17.59201835
"3","GAN2","1",-1.173917613
"3","GAN2","2",-15.7964311
"3","GAN2","3",-10.84931589
"3","GAN2","4",-6.786740957
"3","GAN2","5",-9.314993589
"3","GAN2","6",-13.93348524
"3","GAN2","7",-6.318008701
"3","GAN2","8",-20.29336269
"3","GAN2","9",-8.097169579
"3","GAN2","10",-9.346599567
"3","GAN2","11",-30.04374694
"3","GAN2","12",-7.368613626
"3","GAN2","13",-11.48866458
"3","GAN2","14",-10.65811195
"3","GAN2","15",-19.34157452
"3","GAN2","16",-13.84803198
"3","GAN2","17",-17.75633023
"3","GAN2","18",-11.44555212
"3","GAN2","19",-13.88612622
"3","GAN2","20",-12.40109613
"3","GAN2","21",-7.973657034
"3","GAN2","22",-4.039619967
"3","GAN2","24",-19.83143321
"3","GAN2","26",-14.51982691
"3","GAN2","27",-13.2003393
"3","GAN2","28",-1.9912705
"3","GAN2","29",-16.04495785
"3","GAN2","30",-12.0037
"3","GAN2","31",-15.42619377
"3","GAN2","32",-14.55192375
"3","GAN2","33",-9.888410457
"3","GAN2","34",-11.91401765
"3","GAN2","35",-19.18787902
"3","GAN2","36",-2.583016301
"3","GAN2","37",-10.99378931
"3","GAN2","38",-3.817291664
"3","GAN2","39",-12.78940247
"4","real","1",-3.766046554
"4","real","2",-20.59934993
"4","real","3",-0.941159155
"4","real","4",-5.956040023
"4","real","5",-20.44953306
"4","real","6",-12.50225077
"4","real","7",-16.73124297
"4","real","8",-16.40274978
"4","real","9",-12.27044696
"4","real","11",-4.688586671
"4","real","12",-6.760890528
"4","real","14",-8.651446718
"4","real","15",-7.023151459
"4","real","16",-14.30888726
"4","real","17",-8.802637833
"4","real","19",-8.177329422
"4","real","20",-5.382377018
"4","real","21",-9.433096853
"4","real","22",-10.64261051
"4","real","24",-9.229667262
"4","real","26",-3.26475716
"4","real","27",-5.143520864
"4","real","28",-4.417616527
"4","real","30",-7.163209665
"4","real","31",-6.812901861
"4","real","32",-5.213856748
"4","real","33",-3.328267149
"4","real","34",-16.51028306
"4","real","35",-15.94806105
"4","real","36",-9.619977687
"4","real","37",-24.26505216
"4","real","38",-27.14339651
"4","GAN1","1",-20.81563708
"4","GAN1","2",-3.267942275
"4","GAN1","3",-7.129210096
"4","GAN1","4",-9.071333716
"4","GAN1","5",-0.48340997
"4","GAN1","6",-20.57604387
"4","GAN1","7",-11.73366176
"4","GAN1","8",-8.599985495
"4","GAN1","9",-8.454216053
"4","GAN1","10",-9.683578995
"4","GAN1","11",-7.121011507
"4","GAN1","12",-4.954912269
"4","GAN1","13",-14.8626599
"4","GAN1","15",-10.25048194
"4","GAN1","17",-9.615639275
"4","GAN1","18",-3.388876872
"4","GAN1","19",-9.603103317
"4","GAN1","20",-27.0047679
"4","GAN1","21",-20.5620601
"4","GAN1","23",-6.773873486
"4","GAN1","25",-4.290686381
"4","GAN1","26",-6.130928636
"4","GAN1","27",-15.41872592
"4","GAN1","28",-1.785446712
"4","GAN1","29",-4.42607914
"4","GAN1","30",-11.66018142
"4","GAN1","31",-16.34748295
"4","GAN1","32",-12.19871564
"4","GAN1","33",-9.091895549
"4","GAN1","35",-10.93431064
"4","GAN1","36",-23.5509279
"4","GAN1","37",-0.765943779
"4","GAN1","38",-2.077986245
"4","GAN2","1",-5.420232017
"4","GAN2","2",-13.33874914
"4","GAN2","3",-11.88812717
"4","GAN2","4",-9.549933232
"4","GAN2","5",-5.701269168
"4","GAN2","6",-5.460394193
"4","GAN2","7",-5.207202257
"4","GAN2","8",-3.993371208
"4","GAN2","9",-7.777575163
"4","GAN2","10",-8.628905829
"4","GAN2","11",-11.46531376
"4","GAN2","12",-13.63152811
"4","GAN2","13",-22.93793806
"4","GAN2","14",-13.19532407
"4","GAN2","16",-13.05829098
"4","GAN2","17",-0.800317846
"4","GAN2","18",-3.902156252
"4","GAN2","19",-12.39841187
"4","GAN2","20",-11.90180342
"4","GAN2","21",-9.567744428
"4","GAN2","22",-11.83585766
"4","GAN2","23",-10.82907241
"4","GAN2","24",-8.046486758
"4","GAN2","25",-9.849720269
"4","GAN2","26",-4.449565464
"4","GAN2","27",-6.895717743
"4","GAN2","28",-4.446308214
"4","GAN2","29",-9.151769576
"4","GAN2","30",-10.26866405
"4","GAN2","31",-24.51996886
"4","GAN2","32",-15.97625924
"4","GAN2","33",-14.13236686
"4","GAN2","34",-11.72903708
"4","GAN2","35",-14.64920301
"1","real","1",-1.119617862
"1","real","3",-11.8712677
"1","real","4",-1.939969908
"1","real","6",-1.725364184
"1","real","7",-5.671295028
"1","real","8",-9.385668025
"1","real","9",-4.965489773
"1","real","10",-2.981789833
