"value","epoch","stimulus","participant"
-13.9738533554942,8,"RH","10"
-2.75303349214151,9,"RH","10"
-4.01917180633746,10,"RH","10"
-6.37094166412158,11,"RH","10"
-9.15674843644055,12,"RH","10"
-1.17070315663881e-07,14,"RH","10"
-16.3922261811481,15,"RH","10"
-7.35666406335319,16,"RH","10"
-7.72617594931872,17,"RH","10"
-8.58670630909886,19,"RH","10"
-4.46634945045112,20,"RH","10"
-2.22605655783401,21,"RH","10"
-0.885998993242729,22,"RH","10"
-2.88853706121813,26,"RH","10"
-1.32772985733547,27,"RH","10"
-11.1624290470912,28,"RH","10"
-0.694200785684705,30,"RH","10"
-13.7460750511605,31,"RH","10"
-4.27616360599676,32,"RH","10"
-9.20203744343265,33,"RH","10"
-10.4530952925051,1,"SH","10"
-2.67102669817356,2,"SH","10"
-3.12907846686336,13,"SH","10"
-4.19954288727663,24,"SH","10"
-6.61121959152848,35,"SH","10"
-7.70942747106321,36,"SH","10"
-3.80505328345351,37,"SH","10"
-4.78986227530875,39,"SH","10"
-4.56853492893586,40,"SH","10"
-2.75080783727098,3,"SH","10"
-4.32448386272732,4,"SH","10"
-14.0434313725511,7,"SH","10"
-3.5938356925569,8,"SH","10"
-8.35041744028858,9,"SH","10"
-5.76302323465876,10,"SH","10"
-2.43674779691043,12,"SH","10"
-6.75416683180792,14,"SH","10"
-5.03837405243155,15,"SH","10"
-0.88949900541748,16,"SH","10"
-1.50110739285019,17,"SH","10"
-1.86155933079014,18,"SH","10"
-7.64577465496973,19,"SH","10"
-3.13488448931639,20,"SH","10"
-8.90563725930748,21,"SH","10"
-1.84049898682683,22,"SH","10"
-4.68708563323956,23,"SH","10"
-12.9246035653384,25,"SH","10"
-3.21785666208079,26,"SH","10"
-1.48439951507179,27,"SH","10"
-3.03885081235767,28,"SH","10"
-2.65183089248134,31,"SH","10"
-22.85278498151,32,"SH","10"
-2.48623713415745,33,"SH","10"
-15.7316632820327,1,"EH","10"
-7.77397987312919,2,"EH","10"
-11.4969409612357,13,"EH","10"
-10.405748360108,24,"EH","10"
-8.50456864371343,35,"EH","10"
-7.50379048755895,36,"EH","10"
-7.73594096020886,37,"EH","10"
-4.45438960537732,38,"EH","10"
-3.4126734843526,39,"EH","10"
-5.44731390983419,3,"EH","10"
-3.14998826669349,4,"EH","10"
-9.53008295470765,5,"EH","10"
-12.1102544864548,7,"EH","10"
-8.36230259974867,8,"EH","10"
-2.60656966504259,9,"EH","10"
-0.261154311479501,11,"EH","10"
-8.76721917865229,12,"EH","10"
-9.20957262280328,14,"EH","10"
-4.60115091888285,15,"EH","10"
-10.2326604993706,17,"EH","10"
-5.09527463176157,18,"EH","10"
-15.4118591335288,19,"EH","10"
-8.47819231133956,20,"EH","10"
-0.338578148850281,21,"EH","10"
-10.3667741776141,23,"EH","10"
-6.23292978602023,25,"EH","10"
-0.478235314844113,26,"EH","10"
-13.3902134476183,27,"EH","10"
-5.45390898003743,29,"EH","10"
-10.1461869222206,30,"EH","10"
-8.09131725246953,31,"EH","10"
-7.6597471377273,32,"EH","10"
-2.97662204189558,34,"EH","10"
-11.5720376913039,2,"RH","11"
-2.08616279542533,13,"RH","11"
-9.85119797431129,24,"RH","11"
-6.20221700015494,35,"RH","11"
-7.1628352416246,36,"RH","11"
-5.30713661801999,37,"RH","11"
-3.45525145314427,38,"RH","11"
-8.20949261660622,39,"RH","11"
-7.3663182698731,40,"RH","11"
-1.51629359873359,4,"RH","11"
-2.04144335771163,5,"RH","11"
-3.8906607145455,6,"RH","11"
-4.68040862138711,7,"RH","11"
-1.45671624296452,8,"RH","11"
-4.74661582815305,9,"RH","11"
-1.555018360779,10,"RH","11"
-8.75037057881378,12,"RH","11"
-3.38987704422303,14,"RH","11"
-0.667216775047696,16,"RH","11"
-12.8765971445817,17,"RH","11"
-1.36791411813292,18,"RH","11"
-3.06044326016086,19,"RH","11"
-4.60731702265244,20,"RH","11"
-6.89534145652063,22,"RH","11"
-8.86835477014989,23,"RH","11"
-4.34095258362591,25,"RH","11"
-2.82039684643168,26,"RH","11"
-6.38325716940374,27,"RH","11"
-4.79389424550803,28,"RH","11"
-4.75156002306451,30,"RH","11"
-5.94710490563945,31,"RH","11"
-11.7121529043919,32,"RH","11"
-1.34263998460714,33,"RH","11"
-1.39512480509846,1,"SH","11"
-5.21055571634283,13,"SH","11"
-7.12305800041226,24,"SH","11"
-9.27583824010261,35,"SH","11"
-2.84915511417987,38,"SH","11"
-9.96251428371057,40,"SH","11"
-8.42221711312758,3,"SH","11"
-2.96173369781319,4,"SH","11"
-7.76461103233198,5,"SH","11"
-8.9421428958099,6,"SH","11"
-5.72328723870343,8,"SH","11"
-8.46110871718197,9,"SH","11"
-3.08700831025964,11,"SH","11"
-15.8703071092742,14,"SH","11"
-5.68679985070452,15,"SH","11"
-4.35771740469117,17,"SH","11"
-2.79939653750533,18,"SH","11"
-11.1986341424514,19,"SH","11"
-6.10771795616365,20,"SH","11"
-3.37351646100822,21,"SH","11"
-2.24687643630571,22,"SH","11"
-5.95472159229268,25,"SH","11"
-4.83138548112746,26,"SH","11"
-8.34197207739339,27,"SH","11"
-12.3028326795901,29,"SH","11"
-7.88675178629071,30,"SH","11"
-6.70531258921486,31,"SH","11"
-2.24501375433706,32,"SH","11"
-5.9902133282206,33,"SH","11"
-5.12237075959926,1,"EH","11"
-11.8647084944067,2,"EH","11"
-2.5660120502078,13,"EH","11"
-3.95086107948065,36,"EH","11"
-5.37310524999113,37,"EH","11"
-3.18214556779729,39,"EH","11"
-2.94347368239041,40,"EH","11"
-18.1370838538963,3,"EH","11"
-8.62167474294748,4,"EH","11"
-7.65783195541444,5,"EH","11"
-8.84984349646432,6,"EH","11"
-11.8748852794344,7,"EH","11"
-6.10608688418502,9,"EH","11"
-9.32299540144741,10,"EH","11"
-5.07589759606919,11,"EH","11"
-11.1327385694798,12,"EH","11"
-14.5596132357891,14,"EH","11"
-6.77786907376313,15,"EH","11"
-6.7588935712882,16,"EH","11"
-7.44627122115803,17,"EH","11"
-6.98812024389065,18,"EH","11"
-10.2481850565157,19,"EH","11"
-2.73246817112712,20,"EH","11"
-6.18099613655042,21,"EH","11"
-6.19658500806742,22,"EH","11"
-3.55912403553435,25,"EH","11"
-9.42227420607759,26,"EH","11"
-9.88998142591515,27,"EH","11"
-9.98181392988044,29,"EH","11"
-0.01780513668356,30,"EH","11"
-4.71840485631139,31,"EH","11"
-15.1571763677333,32,"EH","11"
-10.0806552215273,33,"EH","11"
-18.0646724642705,1,"RH","12"
-9.68569366106268,13,"RH","12"
-8.38473813720867,35,"RH","12"
-20.0528426315558,37,"RH","12"
-7.13125099358435,40,"RH","12"
-6.77120360292334,3,"RH","12"
-14.5401763826584,4,"RH","12"
-2.65537339138503,5,"RH","12"
-6.20588526172445,6,"RH","12"
-12.7108030908121,7,"RH","12"
-13.9367764088922,9,"RH","12"
-18.5598444365263,10,"RH","12"
-3.14676392959429,11,"RH","12"
-10.794319086147,12,"RH","12"
-15.8127145967721,17,"RH","12"
-5.90392052136437,18,"RH","12"
-5.56577067840961,19,"RH","12"
-15.9407484000978,21,"RH","12"
-5.47945144057587,23,"RH","12"
-3.69932373724698,26,"RH","12"
-12.260338476782,28,"RH","12"
-0.939056474035172,29,"RH","12"
-18.1176411832594,30,"RH","12"
-7.84173277503609,31,"RH","12"
-10.2837945568033,32,"RH","12"
-6.46310477835931,33,"RH","12"
-17.8430985190625,34,"RH","12"
-4.10823867287207,1,"SH","12"
-13.600670979748,2,"SH","12"
-14.2486090548533,13,"SH","12"
-6.01307268769494,35,"SH","12"
-4.13570112140422,36,"SH","12"
-1.2594134964319,37,"SH","12"
-8.72102141148129,3,"SH","12"
-18.2510218448464,5,"SH","12"
-2.27377511140187,6,"SH","12"
-17.8800561087712,7,"SH","12"
-21.1984067083335,10,"SH","12"
-6.45610204649106,11,"SH","12"
-2.25491810875803,12,"SH","12"
-12.080987517411,14,"SH","12"
-10.3388103708762,15,"SH","12"
-6.28834727081977,16,"SH","12"
-13.7184126734226,17,"SH","12"
-4.01210680435975,19,"SH","12"
-15.3293549513805,20,"SH","12"
-9.24212162943064,21,"SH","12"
-4.90090318204865,23,"SH","12"
-7.19342488777949,25,"SH","12"
-8.48467055851699,26,"SH","12"
-7.70921311090422,27,"SH","12"
-13.1983725112207,28,"SH","12"
-13.3475000761426,29,"SH","12"
-9.10517775741445,30,"SH","12"
-16.1758505989877,31,"SH","12"
-13.2691330054867,32,"SH","12"
-7.87461428988269,1,"EH","12"
-16.6863722865654,24,"EH","12"
-12.0512803072331,35,"EH","12"
-2.96958547190731,36,"EH","12"
-15.7681582127272,37,"EH","12"
-17.1562802260103,38,"EH","12"
-5.64270750423683,39,"EH","12"
-10.2321233381293,3,"EH","12"
-7.85050326011952,4,"EH","12"
-19.9620243202958,5,"EH","12"
-2.74245270896765,6,"EH","12"
-15.6261838890445,7,"EH","12"
-12.5569275372105,8,"EH","12"
-3.42321912776147,9,"EH","12"
-6.43438140296486,10,"EH","12"
-11.6890586088881,12,"EH","12"
-12.1687604211912,14,"EH","12"
-2.45319156174395,15,"EH","12"
-2.27431772036135,16,"EH","12"
-15.497718976512,17,"EH","12"
-1.84118602871254,18,"EH","12"
-3.4355720888261,19,"EH","12"
-54.1723215339663,20,"EH","12"
-12.7800423752299,21,"EH","12"
-0.892305166309142,22,"EH","12"
-3.73060640138929,23,"EH","12"
-2.20334627246064,25,"EH","12"
-14.175180537585,27,"EH","12"
-14.0209960680977,28,"EH","12"
-2.86248600667833,29,"EH","12"
-5.01754303564266,30,"EH","12"
-10.8283967531376,31,"EH","12"
-1.55629365083012,32,"EH","12"
-6.08865513954466,1,"RH","2"
-3.96627271690649,2,"RH","2"
-11.8466604460995,13,"RH","2"
-14.5545371895808,24,"RH","2"
-8.55169149595663,35,"RH","2"
-4.87197980306906,36,"RH","2"
-7.14502702978031,37,"RH","2"
-13.7059579788481,38,"RH","2"
-2.52563095970924,39,"RH","2"
-7.74610199829718,3,"RH","2"
-8.068538379322,4,"RH","2"
-11.1292844835776,5,"RH","2"
-7.05431831577192,6,"RH","2"
-18.3455223497736,7,"RH","2"
-10.9509587344453,8,"RH","2"
-2.6858263349148,9,"RH","2"
-4.21469946709539,10,"RH","2"
-10.1778909253867,11,"RH","2"
-3.97352748051854,12,"RH","2"
-7.90579442257819,14,"RH","2"
-14.1991933345,15,"RH","2"
-2.06963802146398,16,"RH","2"
-10.8197946558302,17,"RH","2"
-21.7683902861416,18,"RH","2"
-18.6773753700978,19,"RH","2"
-14.4937968454391,20,"RH","2"
-8.8819536357072,21,"RH","2"
-13.8510985850189,22,"RH","2"
-14.3653876229638,23,"RH","2"
-4.28663359185773,25,"RH","2"
-15.6611612174937,26,"RH","2"
-8.91398837400398,27,"RH","2"
-21.5599103576397,28,"RH","2"
-7.09295940106428,29,"RH","2"
-2.54945910802941,30,"RH","2"
-8.54608702692163,31,"RH","2"
-19.669666023364,1,"SH","2"
-6.1679793361267,2,"SH","2"
-10.9632456346857,13,"SH","2"
-7.7154195670551,24,"SH","2"
-14.3745508351987,35,"SH","2"
-10.3024688670096,36,"SH","2"
-3.61721296050995,37,"SH","2"
-3.73966012712627,38,"SH","2"
-15.3475255249073,39,"SH","2"
-21.0560602864596,40,"SH","2"
-9.37785992993855,3,"SH","2"
-11.3861071832879,4,"SH","2"
-12.6874707165876,5,"SH","2"
-6.27563318898294,6,"SH","2"
-11.824223902272,7,"SH","2"
-10.3110085650085,8,"SH","2"
-9.06199154998533,9,"SH","2"
-17.3335235558397,10,"SH","2"
-3.79678641114536,11,"SH","2"
-7.43458136843426,12,"SH","2"
-3.22907985704378,14,"SH","2"
-10.9034576621432,15,"SH","2"
-2.99247763231991,16,"SH","2"
-1.85185867275201,17,"SH","2"
-11.2222397320058,19,"SH","2"
-4.92363456636087,20,"SH","2"
-16.7667461114643,21,"SH","2"
-11.5838242218255,22,"SH","2"
-6.59010226106589,23,"SH","2"
-15.3462507251382,25,"SH","2"
-46.1051267039433,26,"SH","2"
-0.642929104727695,27,"SH","2"
-4.19764475434744,30,"SH","2"
-14.3753227065631,31,"SH","2"
-7.53570844090729,32,"SH","2"
-6.08284476428447,1,"EH","2"
-0.74007438641543,13,"EH","2"
-11.0092542375247,24,"EH","2"
-11.9747348444287,35,"EH","2"
-20.3070699562399,36,"EH","2"
-12.1055978376749,37,"EH","2"
-5.61458424487949,38,"EH","2"
-7.97552417819492,39,"EH","2"
-4.09829924655375,40,"EH","2"
-12.0594853930588,3,"EH","2"
-10.9051942062957,4,"EH","2"
-5.23045329620434,5,"EH","2"
-5.70071597220186,6,"EH","2"
-6.71985019066146,7,"EH","2"
-14.2127803871438,8,"EH","2"
-10.0394504711591,9,"EH","2"
-8.9791626402232,10,"EH","2"
-58.4200219371502,11,"EH","2"
-7.08340257589564,12,"EH","2"
-25.7734804525955,14,"EH","2"
-16.4218660022997,15,"EH","2"
-17.2316664540606,16,"EH","2"
-0.871149505233917,17,"EH","2"
-13.2096028765658,18,"EH","2"
-9.60169230242259,19,"EH","2"
-7.18487894400759,20,"EH","2"
-10.9988509037123,21,"EH","2"
-11.3922335993858,22,"EH","2"
-13.0756392682218,23,"EH","2"
-13.1210068607807,25,"EH","2"
-3.36671941917826,26,"EH","2"
-9.28025807134582,27,"EH","2"
-6.15274630125126,28,"EH","2"
-15.3199508607313,1,"RH","3"
-13.1366933098944,13,"RH","3"
-3.91218063552464,24,"RH","3"
-0.359299256396832,36,"RH","3"
-12.2322773035939,38,"RH","3"
-0.0315452852554463,39,"RH","3"
-7.32613055626796,40,"RH","3"
-2.04625489032672,3,"RH","3"
-6.52212051708129,4,"RH","3"
-7.4338246354594,5,"RH","3"
-9.31019848990678,8,"RH","3"
-0.291745248774867,9,"RH","3"
-18.6703633987075,10,"RH","3"
-22.1541090088608,11,"RH","3"
-12.0031704255981,12,"RH","3"
-8.0960223578709,14,"RH","3"
-12.4909872792919,15,"RH","3"
-0.973950844386942,17,"RH","3"
-0.181197425533009,18,"RH","3"
-2.91647620970048,19,"RH","3"
-3.23860465272308,20,"RH","3"
-17.7949447313299,21,"RH","3"
-2.8830340246367,22,"RH","3"
-6.04246872303559,23,"RH","3"
-5.05447336192759,25,"RH","3"
-14.3681208163545,27,"RH","3"
-12.5934217768051,28,"RH","3"
-9.0055767848321,29,"RH","3"
-3.77322711570058,30,"RH","3"
-2.48621706536586,1,"SH","3"
-9.00036677460401,2,"SH","3"
-8.08242183348005,13,"SH","3"
-4.49602261006991,24,"SH","3"
-6.41146226068692,35,"SH","3"
-5.96568894007692,36,"SH","3"
-13.2508986748063,37,"SH","3"
-18.4255163461037,39,"SH","3"
-8.15995053968205,40,"SH","3"
-13.569885199612,3,"SH","3"
-6.99073981899881,6,"SH","3"
-2.95259402190521,7,"SH","3"
-6.06592232128236,8,"SH","3"
-4.90577540610128,9,"SH","3"
-32.3774366038113,11,"SH","3"
-8.33627530852424,12,"SH","3"
-6.99632924464233,14,"SH","3"
-16.100982095804,15,"SH","3"
-2.14316120608718,17,"SH","3"
-2.06069967354213,18,"SH","3"
-14.1549584540063,19,"SH","3"
-6.35741357855312,20,"SH","3"
-2.98216705944869,21,"SH","3"
-4.55044084288002,22,"SH","3"
-5.11238505318656,23,"SH","3"
-0.900843422582395,25,"SH","3"
-17.8117313914598,27,"SH","3"
-1.92916326604122,28,"SH","3"
-8.89518961629992,29,"SH","3"
-19.2135367286472,30,"SH","3"
-4.64042728672362,31,"SH","3"
-9.495491370417,33,"SH","3"
-7.2937293265373,34,"SH","3"
-18.6335900391634,2,"EH","3"
-9.72735384043188,13,"EH","3"
-6.51172860658829,24,"EH","3"
-0.550869349752385,35,"EH","3"
-1.75696464972171,37,"EH","3"
-8.85758204524104,38,"EH","3"
-1.20547843420266,39,"EH","3"
-14.858539244609,40,"EH","3"
-9.50379205598664,3,"EH","3"
-11.7000529423431,4,"EH","3"
-8.00488704138498,5,"EH","3"
-1.5361493810391,6,"EH","3"
-10.8872697013417,7,"EH","3"
-6.31780821280877,8,"EH","3"
-9.3246811525609,9,"EH","3"
-5.11351283889204,10,"EH","3"
-10.0499579213368,11,"EH","3"
-3.86828598400299,15,"EH","3"
-9.13281017663033,16,"EH","3"
-22.2831213911241,17,"EH","3"
-4.63930619707621,19,"EH","3"
-5.92986694627869,20,"EH","3"
-8.4939930578391,21,"EH","3"
-5.28139834391602,22,"EH","3"
-1.38581040852275,23,"EH","3"
-3.88614301576102,25,"EH","3"
-2.5147881589652,26,"EH","3"
-8.8151062372017,27,"EH","3"
-8.65551988659838,28,"EH","3"
-14.6767247646673,29,"EH","3"
-10.2492100984812,30,"EH","3"
-8.18876184001886,31,"EH","3"
-12.4032859809192,33,"EH","3"
-0.924894540201967,1,"RH","4"
-10.3344947139404,2,"RH","4"
-0.470320186890941,24,"RH","4"
-1.74701281204046,35,"RH","4"
-8.83363551168909,36,"RH","4"
-11.3098072719602,37,"RH","4"
-11.7473829593089,38,"RH","4"
-7.65025319792197,39,"RH","4"
-7.18306984928164,40,"RH","4"
-9.0599551624538,5,"RH","4"
-19.7440335079906,6,"RH","4"
-4.83185927100079,7,"RH","4"
-8.53064441379036,8,"RH","4"
-5.4512968584059,9,"RH","4"
-6.06229032498388,10,"RH","4"
-7.27355247919126,12,"RH","4"
-13.9491621284751,14,"RH","4"
-11.6918856437395,15,"RH","4"
-10.0322240875393,16,"RH","4"
-11.5698444609824,17,"RH","4"
-10.4552383437104,18,"RH","4"
-1.08504402067996,19,"RH","4"
-8.04475154424077,20,"RH","4"
-0.120443529339485,21,"RH","4"
-6.83052018497279,22,"RH","4"
-3.73409798748834,23,"RH","4"
-15.3225529588174,25,"RH","4"
-3.81960231436131,26,"RH","4"
-5.26589396747844,27,"RH","4"
-5.5249404893548,28,"RH","4"
-8.19013216528294,29,"RH","4"
-5.39991309727967,30,"RH","4"
-12.8388678073577,31,"RH","4"
-19.503298568955,32,"RH","4"
-25.5445273608023,1,"SH","4"
-3.93498156501628,2,"SH","4"
-8.78890284710444,13,"SH","4"
-3.02192184870154,24,"SH","4"
-7.65953744534437,35,"SH","4"
-13.2216377085847,36,"SH","4"
-12.1411908224387,37,"SH","4"
-9.86550892946247,38,"SH","4"
-1.24574062382861,39,"SH","4"
-14.4650549115998,40,"SH","4"
-0.578733790093355,3,"SH","4"
-4.6642673934244,4,"SH","4"
-5.10181046629602,5,"SH","4"
-8.58760592026702,6,"SH","4"
-2.37511824158632,7,"SH","4"
-5.33873086574774,9,"SH","4"
-4.54292444775494,10,"SH","4"
-9.52794312730364,12,"SH","4"
-3.518533799049,14,"SH","4"
-0.91422552702829,15,"SH","4"
-11.4475373110153,16,"SH","4"
-5.54156350387501,19,"SH","4"
-16.7783846383619,20,"SH","4"
-7.87175771339245,21,"SH","4"
-11.9346141534116,22,"SH","4"
-10.5383942185162,23,"SH","4"
-2.42715516279109,25,"SH","4"
-5.60610030468965,26,"SH","4"
-7.01706373034687,27,"SH","4"
-1.06396922773589,28,"SH","4"
-8.4573781959179,29,"SH","4"
-6.47146772962492,30,"SH","4"
-1.02288721002873,31,"SH","4"
-6.56934622090677,1,"EH","4"
-14.5946848899391,2,"EH","4"
-7.82497048811785,13,"EH","4"
-0.767421429259298,24,"EH","4"
-5.05483490606062,35,"EH","4"
-0.761332564513173,37,"EH","4"
-0.399879235808645,39,"EH","4"
-11.3687106009416,40,"EH","4"
-10.0365242067899,3,"EH","4"
-2.19223693264414,4,"EH","4"
-7.28170684049068,5,"EH","4"
-4.14206610816248,6,"EH","4"
-0.275806907302256,7,"EH","4"
-10.4934444173444,8,"EH","4"
-2.60544627824792,10,"EH","4"
-11.6503706187801,11,"EH","4"
-19.8998024268331,12,"EH","4"
-7.57697773051392,14,"EH","4"
-1.95841551247191,15,"EH","4"
-15.1889947485983,16,"EH","4"
-7.41490063948734,17,"EH","4"
-6.87421200885281,19,"EH","4"
-7.42770214160796,20,"EH","4"
-7.30270702380714,21,"EH","4"
-6.2364135367744,22,"EH","4"
-4.40145403936408,23,"EH","4"
-4.8887034806881,25,"EH","4"
-9.48713519059988,26,"EH","4"
-10.8541127178949,27,"EH","4"
-1.97830258499073,28,"EH","4"
-8.35229462907949,29,"EH","4"
-4.27555309047856,1,"RH","1"
-7.38501375496878,2,"RH","1"
-6.47203612562321,24,"RH","1"
-3.57309033783343,35,"RH","1"
-1.28820073213799,37,"RH","1"
-11.8435694232838,38,"RH","1"
-4.09809989271584,39,"RH","1"
-2.46090867934782,40,"RH","1"
-9.99596945472668,3,"RH","1"
-9.45198580343455,4,"RH","1"
-4.13640686764039,5,"RH","1"
-9.11265603331462,6,"RH","1"
-2.00620659842451,7,"RH","1"
-3.96693494065543,9,"RH","1"
-8.88974868151225,11,"RH","1"
-13.3771417040425,12,"RH","1"
-6.04071945638397,14,"RH","1"
-2.16935771255518,18,"RH","1"
-2.72454459580902,19,"RH","1"
-17.8985570245656,20,"RH","1"
-12.0978824095738,21,"RH","1"
-8.97512334639145,22,"RH","1"
-6.17323872102298,23,"RH","1"
-3.57440388420683,25,"RH","1"
-3.10737617327555,26,"RH","1"
-6.12905207343336,27,"RH","1"
-8.98796249967468,29,"RH","1"
-11.5309605385823,30,"RH","1"
-5.19941835092584,1,"SH","1"
-4.28817420130158,2,"SH","1"
-8.81056505644368,13,"SH","1"
-6.17266547226888,24,"SH","1"
-11.6627746870614,35,"SH","1"
-1.89423519890267,36,"SH","1"
-3.63813037447386,37,"SH","1"
-6.80015864560565,38,"SH","1"
-7.27141027732781,39,"SH","1"
-13.5524668396667,40,"SH","1"
-14.9433966595446,3,"SH","1"
-5.8985500525162,5,"SH","1"
-2.54811592550139,7,"SH","1"
-10.6589512931914,8,"SH","1"
-5.07750600238621,9,"SH","1"
-11.609399912012,10,"SH","1"
-3.59876259091237,11,"SH","1"
-5.94905922313411,12,"SH","1"
-4.3338406017162,14,"SH","1"
-11.2828133088098,15,"SH","1"
-5.99190495154398,17,"SH","1"
-2.78843481356903,18,"SH","1"
-13.3483069863867,20,"SH","1"
-6.13434299950793,21,"SH","1"
-8.99390755528841,26,"SH","1"
-5.49208717277068,27,"SH","1"
-6.55511499520514,29,"SH","1"
-14.0862956344709,2,"EH","1"
-10.2393782204505,24,"EH","1"
-1.14247678942324,35,"EH","1"
-9.34890331887798,36,"EH","1"
-13.0826276236598,37,"EH","1"
-13.916480926549,38,"EH","1"
-15.4528720897639,39,"EH","1"
-15.4730491248288,40,"EH","1"
-6.27604585198996,3,"EH","1"
-1.86991027877434,4,"EH","1"
-14.6896464909543,5,"EH","1"
-11.8186812441832,6,"EH","1"
-6.41021701857429,7,"EH","1"
-4.67362734280742,8,"EH","1"
-3.7112441779055,10,"EH","1"
-8.84933192545093,11,"EH","1"
-0.0322462188215082,14,"EH","1"
-3.37427820557194,16,"EH","1"
-5.83837780296986,17,"EH","1"
-14.0895436271145,18,"EH","1"
-8.83541466473026,19,"EH","1"
-1.75972678001079,20,"EH","1"
-10.3637615626348,21,"EH","1"
-3.04449192627439,22,"EH","1"
-0.691072977064665,25,"EH","1"
-17.0332318553388,27,"EH","1"
-19.5031389345681,28,"EH","1"
-8.35161465440586,29,"EH","1"
-2.43521189636792,30,"EH","1"
-8.49966796867611,31,"EH","1"
-6.42549249394997,2,"RH","5"
-5.64974123189564,13,"RH","5"
-11.7255513488907,24,"RH","5"
-0.762064766206326,35,"RH","5"
-3.78036386857932,37,"RH","5"
-13.2114114274894,39,"RH","5"
-6.03242014290863,40,"RH","5"
-8.70852515766623,3,"RH","5"
-7.88655040583871,4,"RH","5"
-8.93684948317678,5,"RH","5"
-10.0614010423599,6,"RH","5"
-8.74155178948747,7,"RH","5"
-5.65807526853528,8,"RH","5"
-5.19913088359036,9,"RH","5"
-5.75910398700177,10,"RH","5"
-20.798150266177,11,"RH","5"
-9.43729624107359,12,"RH","5"
-9.25109933250228,14,"RH","5"
-8.98733068946975,15,"RH","5"
