DROP,Participant,Age,Gender,Year,Anchortype,magnitude,Condition,pen,Proteindrink,lebron,slidy,Cheese,Figurine,TV,beachhouse,number,Notes,PenD,ProteindrinkD,SlidyD,CheeseD,FigurineD,TVD,LebronD,beachhouseD,NumberD,ZPenD,ZProteindrinkD,ZSlidyD,ZCheeseD,ZFigurineD,ZTVD,ZLebronD,ZbeachhouseD,ZNumberD,SUM2,mean,ZSco01,ZSco02,ZSco03,ZSco04,ZSco05,ZSco06,ZSco07,ZSco08,ZSco09,mean2
0,5,19,f,soph,0,0,4,3.8,9.94,.497,30,4.5,30,3800,775000,9928, ,.2,.0600000000000005,10,.5,20,1200,.003,25000,72,.0801563701868303,.00975926442204485,.00886311643119601,-1.11741444026339,.11150847277244,-.194012450741655,-.777947158823746,-.516142566158502,-.122293722622058,-.251752311479684,-.279724790532982,.0823961448348576,.0232492865037183,.0161639335984741,-1.14409668413686,.13360627562564,-.15737178531,-.772776245924598,-.510616963924111,-.10832865777048,-.27086385516704
0,7,21,m,jr,0,0,4,3.8,9,.49,30,3,20,4000,750000,9800, ,.2,1,10,2,30,1000,.01,50000,200,.0801563701868303,.104078911761661,.00886311643119601,-.00400591427340273,.650754973226382,-.350361776021262,-.676951326658174,-.270408914479329,-.112553755123386,-.0570428314949486,-.0633809238832762,.0823961448348576,.115607783338352,.0161639335984741,-.0195545384226958,.665284374616747,-.317231723956728,-.672111811429453,-.270015495387947,-.0987913397791664,-.0553614080652843
0,19,18,m,frosh,0,0,4,3.8,9.6,.497,38,4.79,40,4800,795000,9500, ,.2,.4,2,.21,10,200,.003,5000,500,.0801563701868303,.0438748815448846,-.76868443471292,-1.33267342195479,-.427738027681502,-.975759077139692,-.777947158823746,-.712729487501839,-.0897257062983741,-.496122606238115,-.551247340264572,.0823961448348576,.0566555513162455,-.76992402255833,-1.3615081656416,-.398071823365468,-.956671478543641,-.772776245924598,-.703098138753043,-.0764382507370245,-.544381825485844
0,25,19,f,frosh,0,0,4,3.8,9.9,.48,35,4.5,25,4750,780000,9900, ,.2,.0999999999999996,5,.5,25,250,.02,20000,100,.0801563701868303,.0137728664364965,-.477104103033877,-1.11741444026339,.381131722999411,-.93667174581979,-.532671566421643,-.565289296494336,-.120163104731724,-.327425329714203,-.363805921904669,.0823961448348576,.027179435305192,-.475141038999528,-1.14409668413686,.399445325121194,-.916706493881959,-.528305476436387,-.558737257631344,-.10624236945988,-.357800935031635
0,27,21,f,jr,0,0,4,.5,5,.4,20,4,20,4900,700,9000, ,3.5,5,20,1,30,100,.1,799300,1000,.152305468870657,.505439113206834,.980797555361341,-.746278264933397,.650754973226382,-1.0539337397795,.621566515470602,7.09472009364882,-.0516789582566871,.815369275681506,.90596586186834,.153000233044045,.50862266348573,.998773878794479,-.769249302232137,.665284374616747,-1.036601447867,.622145203508134,6.94129171957799,-.0391831023334546,.893787135621614
0,33,21,f,jr,0,0,4,3.7,9,.43,36,3,50,4100,750000,9998, ,.3,1,4,2,0,900,.07,50000,2,.0823427065105827,.104078911761661,-.574297546926891,-.00400591427340273,-.966984528135444,-.428536438661066,.18872723476101,-.270408914479329,-.127620267347894,-.199670475679077,-.221856084087864,.0845356626593785,.115607783338352,-.573402033519129,-.0195545384226958,-.929749922356576,-.397161693280092,.190726198528938,-.270015495387947,-.11354437854698,-.212506490776306
0,38,20,m,soph,0,0,4,3,8,.482,35,.8,15,4999,780000,9782, ,1,2,5,4.2,35,1,.018,20000,218,.0976470607768489,.204418962122954,-.477104103033877,1.62899325717858,.920378223453353,-1.1313266557929,-.561527518468949,-.565289296494336,-.111184072193886,.000500585754779157,.000556206394199063,.0995122874310244,.213861503375197,-.475141038999528,1.62977394195807,.931123424112301,-1.11573211749714,-.557066743435001,-.558737257631344,-.0974501544366379,.00779376054188333
0,43,22,f,sr,0,0,4,3.7,9.9,.49,40,4.5,40,4950,700000,9999, ,.3,.0999999999999996,0,.5,10,50,.01,100000,1,.0823427065105827,.0137728664364965,-.963071322498949,-1.11741444026339,-.427738027681502,-1.0930210710994,-.676951326658174,.221058388879015,-.127696360843978,-.40887185872193,-.454302065246589,.0845356626593785,.027179435305192,-.966446011597531,-1.14409668413686,-.398071823365468,-1.07656643252869,-.672111811429453,.211187441684383,-.113618888843787,-.449778790250314
0,47,19,m,soph,0,0,4,3.7,9.6, ,38,4.6,45,4200,798000,9941, ,.3,.4,2,.4,5,800, ,2000,59,.0823427065105827,.0438748815448846,-.76868443471292,-1.19164167532939,-.697361277908473,-.50671110130087, ,-.74221752570334,-.123282938071142, ,-.487960170621334,.0845356626593785,.0566555513162455,-.76992402255833,-1.2190661605178,-.663910872861022,-.477091662603456, ,-.731970314977383,-.109297291628973,-.478758638896418
0,50,22,m,sr,0,0,4,3.5,9.5,.409,35,3,35,4200,725000,9800,1 headphone in ear,.5,.5,5,2,15,800,.091,75000,200,.0867153791580873,.0539088865810139,-.477104103033877,-.00400591427340273,-.158114777454531,-.50671110130087,.491714731257725,-.0246752628001573,-.112553755123386,-.0650825916989397,-.0723139907765997,.0888146983084202,.0664809233199299,-.475141038999528,-.0195545384226958,-.132232773869914,-.477091662603456,.492719502014375,-.0294140268517817,-.0987913397791664,-.0649122507648686
