labLocale,age_group,Never,Sometimes,Usually
Wisconsin,6yo,0,0,1
Wisconsin,7yo,1,0,0
Wisconsin,6yo,0,0,1
Wisconsin,7yo,0,0,1
Wisconsin,7yo,0,0,1
Wisconsin,6yo,0,1,0
Wisconsin,5yo,0,1,0
Wisconsin,7yo,0,0,1
Wisconsin,7yo,0,0,1
Wisconsin,5yo,0,0,1
Wisconsin,10yo,0,1,0
Wisconsin,7yo,0,0,1
Wisconsin,10yo,0,0,1
Wisconsin,10yo,0,0,1
Wisconsin,6yo,0,1,0
Wisconsin,5yo,0,0,1
Wisconsin,7yo,0,0,1
Wisconsin,7yo,0,0,1
Wisconsin,7yo,0,0,1
Wisconsin,7yo,0,1,0
Wisconsin,7yo,0,1,0
Wisconsin,10yo,0,0,1
Wisconsin,10yo,0,0,1
Wisconsin,7yo,0,1,0
Wisconsin,7yo,0,1,0
Wisconsin,10yo,0,1,0
Wisconsin,5yo,1,0,0
Wisconsin,10yo,0,0,1
Wisconsin,7yo,0,1,0
Wisconsin,10yo,0,0,1
Wisconsin,10yo,0,0,1
Wisconsin,7yo,0,1,0
Wisconsin,6yo,0,0,1
Wisconsin,6yo,0,1,0
Wisconsin,7yo,0,0,1
Wisconsin,6yo,0,0,1
Wisconsin,7yo,0,0,1
Wisconsin,6yo,0,0,1
Wisconsin,10yo,0,0,1
Wisconsin,5yo,0,0,1
Wisconsin,5yo,1,0,0
Wisconsin,6yo,0,0,1
Wisconsin,5yo,1,0,0
Wisconsin,7yo,0,0,1
Wisconsin,5yo,0,0,1
Wisconsin,6yo,0,0,1
Wisconsin,6yo,0,1,0
Wisconsin,6yo,0,0,1
Witten,10yo,0,0,1
Witten,5yo,0,1,0
Witten,6yo,0,0,1
Witten,7yo,0,1,0
Witten,10yo,0,0,1
Witten,5yo,0,1,0
Witten,6yo,0,0,1
Witten,7yo,1,0,0
Witten,7yo,0,1,0
Witten,5yo,1,0,0
Witten,6yo,0,1,0
Witten,7yo,0,1,0
Witten,10yo,0,0,1
Witten,5yo,1,0,0
Witten,6yo,0,1,0
Witten,7yo,0,0,1
Witten,10yo,0,0,1
Witten,5yo,1,0,0
Witten,6yo,0,0,1
Witten,7yo,0,0,1
Witten,10yo,0,0,1
Witten,5yo,0,1,0
Witten,6yo,0,0,1
Witten,7yo,0,0,1
Witten,10yo,0,0,1
Witten,5yo,0,1,0
Witten,6yo,0,0,1
Witten,7yo,0,1,0
Witten,10yo,0,0,1
Witten,5yo,0,0,1
Witten,6yo,0,0,1
Witten,10yo,0,0,1
