participant_id,labLocale,taskOrder,timing,trial_type,age_group,maxWrong,maxCorrect,prodSpeech_category,producer
Austria.38,Austria,first,delayed,experimental,10yo,5,4,Usually,Yes
Austria.38,Austria,point-and-name,point-and-name,point and name,10yo,5,5,Usually,Yes
Austria.38,Austria,second,immediate,experimental,10yo,5,4,Usually,Yes
Austria.39,Austria,first,delayed,experimental,10yo,5,3,Usually,Yes
Austria.39,Austria,point-and-name,point-and-name,point and name,10yo,5,4,Usually,Yes
Austria.39,Austria,second,immediate,experimental,10yo,5,2,Usually,Yes
Austria.4,Austria,first,delayed,experimental,10yo,5,5,Sometimes,Yes
Austria.4,Austria,point-and-name,point-and-name,point and name,10yo,5,5,Sometimes,Yes
Austria.4,Austria,second,immediate,experimental,10yo,NA,5,Sometimes,Yes
Austria.41,Austria,first,delayed,experimental,5yo,5,2,Never,No
Austria.41,Austria,point-and-name,point-and-name,point and name,5yo,5,2,Never,No
Austria.41,Austria,second,immediate,experimental,5yo,5,1,Never,No
Austria.42,Austria,first,delayed,experimental,6yo,5,3,Usually,Yes
Austria.42,Austria,point-and-name,point-and-name,point and name,6yo,5,4,Usually,Yes
Austria.42,Austria,second,immediate,experimental,6yo,5,2,Usually,Yes
Austria.5,Austria,first,immediate,experimental,5yo,5,2,Usually,Yes
Austria.5,Austria,point-and-name,point-and-name,point and name,5yo,5,3,Usually,Yes
Austria.5,Austria,second,delayed,experimental,5yo,5,3,Usually,Yes
Austria.6,Austria,first,immediate,experimental,6yo,5,2,Never,No
Austria.6,Austria,point-and-name,point-and-name,point and name,6yo,5,3,Never,No
Austria.6,Austria,second,delayed,experimental,6yo,5,1,Never,No
Austria.7,Austria,first,immediate,experimental,5yo,5,3,Usually,Yes
Austria.7,Austria,point-and-name,point-and-name,point and name,5yo,5,3,Usually,Yes
Austria.7,Austria,second,delayed,experimental,5yo,5,2,Usually,Yes
Austria.8,Austria,first,immediate,experimental,5yo,5,1,Usually,Yes
Austria.8,Austria,point-and-name,point-and-name,point and name,5yo,5,4,Usually,Yes
Austria.8,Austria,second,delayed,experimental,5yo,5,2,Usually,Yes
Bristol.1001,Bristol,first,delayed,experimental,5yo,5,1,Sometimes,Yes
Bristol.1001,Bristol,point-and-name,point-and-name,point and name,5yo,5,3,Sometimes,Yes
Bristol.1001,Bristol,second,immediate,experimental,5yo,5,4,Sometimes,Yes
Bristol.1002,Bristol,first,immediate,experimental,5yo,5,2,Never,No
Bristol.1002,Bristol,point-and-name,point-and-name,point and name,5yo,5,1,Never,No
Bristol.1002,Bristol,second,delayed,experimental,5yo,5,2,Never,No
Bristol.1003,Bristol,first,immediate,experimental,5yo,5,1,Never,No
Bristol.1003,Bristol,point-and-name,point-and-name,point and name,5yo,5,3,Never,No
Bristol.1003,Bristol,second,delayed,experimental,5yo,5,1,Never,No
Bristol.2001,Bristol,first,immediate,experimental,6yo,5,4,Usually,Yes
Bristol.2001,Bristol,point-and-name,point-and-name,point and name,6yo,5,3,Usually,Yes
Bristol.2001,Bristol,second,delayed,experimental,6yo,5,4,Usually,Yes
Bristol.2002,Bristol,first,immediate,experimental,6yo,5,2,Usually,Yes
Bristol.2002,Bristol,point-and-name,point-and-name,point and name,6yo,5,2,Usually,Yes
Bristol.2002,Bristol,second,delayed,experimental,6yo,5,4,Usually,Yes
Bristol.2004,Bristol,first,delayed,experimental,6yo,5,1,Sometimes,Yes
Bristol.2004,Bristol,point-and-name,point-and-name,point and name,6yo,5,2,Sometimes,Yes
Bristol.2004,Bristol,second,immediate,experimental,6yo,5,1,Sometimes,Yes
Bristol.2005,Bristol,first,delayed,experimental,6yo,5,3,Sometimes,Yes
Bristol.2005,Bristol,point-and-name,point-and-name,point and name,6yo,5,2,Sometimes,Yes
Bristol.2005,Bristol,second,immediate,experimental,6yo,5,3,Sometimes,Yes
Bristol.2006,Bristol,first,immediate,experimental,6yo,5,4,Never,No
Bristol.2006,Bristol,point-and-name,point-and-name,point and name,6yo,5,3,Never,No
Bristol.2006,Bristol,second,delayed,experimental,6yo,5,3,Never,No
Bristol.2007,Bristol,first,delayed,experimental,6yo,5,2,Usually,Yes
Bristol.2007,Bristol,point-and-name,point-and-name,point and name,6yo,5,3,Usually,Yes
Bristol.2007,Bristol,second,immediate,experimental,6yo,5,3,Usually,Yes
Bristol.2008,Bristol,first,delayed,experimental,6yo,5,3,Sometimes,Yes
Bristol.2008,Bristol,point-and-name,point-and-name,point and name,6yo,5,2,Sometimes,Yes
Bristol.2008,Bristol,second,immediate,experimental,6yo,5,3,Sometimes,Yes
Bristol.2009,Bristol,first,delayed,experimental,6yo,5,2,Usually,Yes
Bristol.2009,Bristol,point-and-name,point-and-name,point and name,6yo,5,4,Usually,Yes
Bristol.2009,Bristol,second,immediate,experimental,6yo,5,3,Usually,Yes
Bristol.3001,Bristol,first,immediate,experimental,7yo,5,2,Usually,Yes
Bristol.3001,Bristol,point-and-name,point-and-name,point and name,7yo,5,3,Usually,Yes
Bristol.3001,Bristol,second,delayed,experimental,7yo,5,1,Usually,Yes
Bristol.3002,Bristol,first,delayed,experimental,7yo,5,4,Usually,Yes
Bristol.3002,Bristol,point-and-name,point-and-name,point and name,7yo,5,2,Usually,Yes
Bristol.3002,Bristol,second,immediate,experimental,7yo,5,5,Usually,Yes
Bristol.3003,Bristol,first,delayed,experimental,7yo,5,2,Usually,Yes
Bristol.3003,Bristol,point-and-name,point-and-name,point and name,7yo,5,3,Usually,Yes
Bristol.3003,Bristol,second,immediate,experimental,7yo,5,3,Usually,Yes
Bristol.3004,Bristol,first,immediate,experimental,7yo,5,2,Usually,Yes
Bristol.3004,Bristol,point-and-name,point-and-name,point and name,7yo,5,1,Usually,Yes
Bristol.3004,Bristol,second,delayed,experimental,7yo,5,2,Usually,Yes
Bristol.3006,Bristol,first,delayed,experimental,7yo,5,2,Sometimes,Yes
Bristol.3006,Bristol,point-and-name,point-and-name,point and name,7yo,5,3,Sometimes,Yes
Bristol.3006,Bristol,second,immediate,experimental,7yo,5,4,Sometimes,Yes
Bristol.3007,Bristol,first,delayed,experimental,7yo,5,4,Usually,Yes
Bristol.3007,Bristol,point-and-name,point-and-name,point and name,7yo,5,5,Usually,Yes
Bristol.3007,Bristol,second,immediate,experimental,7yo,5,4,Usually,Yes
Bristol.3008,Bristol,first,immediate,experimental,7yo,5,4,Usually,Yes
Bristol.3008,Bristol,point-and-name,point-and-name,point and name,7yo,5,4,Usually,Yes
Bristol.3008,Bristol,second,delayed,experimental,7yo,5,3,Usually,Yes
Bristol.3009,Bristol,first,delayed,experimental,7yo,5,4,Usually,Yes
Bristol.3009,Bristol,point-and-name,point-and-name,point and name,7yo,5,5,Usually,Yes
Bristol.3009,Bristol,second,immediate,experimental,7yo,5,5,Usually,Yes
Bristol.3010,Bristol,first,delayed,experimental,7yo,5,4,Usually,Yes
Bristol.3010,Bristol,point-and-name,point-and-name,point and name,7yo,5,4,Usually,Yes
Bristol.3010,Bristol,second,immediate,experimental,7yo,5,3,Usually,Yes
Bristol.4001,Bristol,first,delayed,experimental,10yo,3,5,Usually,Yes
Bristol.4001,Bristol,point-and-name,point-and-name,point and name,10yo,5,5,Usually,Yes
Bristol.4001,Bristol,second,immediate,experimental,10yo,NA,5,Usually,Yes
Bristol.4002,Bristol,first,immediate,experimental,10yo,5,4,Usually,Yes
Bristol.4002,Bristol,point-and-name,point-and-name,point and name,10yo,5,3,Usually,Yes
Bristol.4002,Bristol,second,delayed,experimental,10yo,5,3,Usually,Yes
Bristol.4003,Bristol,first,delayed,experimental,10yo,5,5,Sometimes,Yes
Bristol.4003,Bristol,point-and-name,point-and-name,point and name,10yo,5,4,Sometimes,Yes
Bristol.4003,Bristol,second,immediate,experimental,10yo,5,5,Sometimes,Yes
Bristol.4004,Bristol,first,immediate,experimental,10yo,5,4,Usually,Yes
Bristol.4004,Bristol,point-and-name,point-and-name,point and name,10yo,5,4,Usually,Yes
Bristol.4004,Bristol,second,delayed,experimental,10yo,4,5,Usually,Yes
Bristol.4005,Bristol,first,delayed,experimental,10yo,5,4,Usually,Yes
Bristol.4005,Bristol,point-and-name,point-and-name,point and name,10yo,5,4,Usually,Yes
Bristol.4005,Bristol,second,immediate,experimental,10yo,5,4,Usually,Yes
