electrode,Value,epoch,stimuli,participant
C4,-19.97397448,3,RH,p6_exp2
C4,-24.93517276,4,RH,p6_exp2
C4,-8.5571497,5,RH,p6_exp2
C4,-12.18900701,6,RH,p6_exp2
C4,-4.007611242,7,RH,p6_exp2
C4,-18.12449987,8,RH,p6_exp2
C4,-2.049583768,9,RH,p6_exp2
C4,-8.88359098,10,RH,p6_exp2
C4,-14.73757215,11,RH,p6_exp2
C4,-13.60951138,12,RH,p6_exp2
C4,-18.04223281,13,RH,p6_exp2
C4,-13.92834634,14,RH,p6_exp2
C4,-16.48455065,15,RH,p6_exp2
C4,-3.606097036,16,RH,p6_exp2
C4,-16.47338492,17,RH,p6_exp2
C4,-2.941034035,18,RH,p6_exp2
C4,-4.187545603,19,RH,p6_exp2
C4,-16.21702307,20,RH,p6_exp2
C4,-20.002061,21,RH,p6_exp2
C4,-14.35243241,22,RH,p6_exp2
C4,-13.52828668,23,RH,p6_exp2
C4,-7.816284405,24,RH,p6_exp2
C4,-4.334216754,25,RH,p6_exp2
C4,-15.13821788,26,RH,p6_exp2
C4,-9.457113517,27,RH,p6_exp2
C4,-11.42145252,28,RH,p6_exp2
C4,-12.96683575,29,RH,p6_exp2
C4,-24.66431948,30,RH,p6_exp2
C4,-6.4700044,31,RH,p6_exp2
C4,-14.452927,32,RH,p6_exp2
C4,-4.65207847,33,RH,p6_exp2
C4,-13.67195904,34,RH,p6_exp2
C4,-5.650172703,35,RH,p6_exp2
C4,-24.04421562,36,RH,p6_exp2
C4,-21.71307299,37,RH,p6_exp2
C4,-0.520091226,38,RH,p6_exp2
C4,-16.1791247,39,RH,p6_exp2
Pz,-8.346137474,0,RH,p6_exp2
Pz,-4.845906698,1,RH,p6_exp2
Pz,-11.15146347,3,RH,p6_exp2
Pz,-18.3181701,4,RH,p6_exp2
Pz,-17.42102788,5,RH,p6_exp2
Pz,-15.81931787,6,RH,p6_exp2
Pz,-11.16816554,7,RH,p6_exp2
Pz,-17.47539469,8,RH,p6_exp2
Pz,-4.22121665,9,RH,p6_exp2
Pz,-11.39286576,10,RH,p6_exp2
Pz,-14.81206909,11,RH,p6_exp2
Pz,-7.945797673,12,RH,p6_exp2
Pz,-19.84718324,13,RH,p6_exp2
Pz,-5.593259691,14,RH,p6_exp2
Pz,-11.38686279,15,RH,p6_exp2
Pz,-12.16155758,17,RH,p6_exp2
Pz,-8.833405372,18,RH,p6_exp2
Pz,-5.609928221,20,RH,p6_exp2
Pz,-16.51801114,21,RH,p6_exp2
Pz,-10.5450372,22,RH,p6_exp2
Pz,-14.85675157,23,RH,p6_exp2
Pz,-20.14400375,24,RH,p6_exp2
Pz,-5.439052316,25,RH,p6_exp2
Pz,-17.55161091,26,RH,p6_exp2
Pz,-11.94972475,27,RH,p6_exp2
Pz,-19.05309802,28,RH,p6_exp2
Pz,-13.69646489,29,RH,p6_exp2
Pz,-11.15530582,30,RH,p6_exp2
Pz,-8.324972819,31,RH,p6_exp2
Pz,-11.42038799,32,RH,p6_exp2
Pz,-4.485968093,33,RH,p6_exp2
Pz,-9.460103535,34,RH,p6_exp2
Pz,-4.176922084,35,RH,p6_exp2
Pz,-30.59890529,36,RH,p6_exp2
Pz,-15.93726321,37,RH,p6_exp2
Pz,-3.132978899,38,RH,p6_exp2
Pz,-26.83250573,39,RH,p6_exp2
PO7,-3.515250618,0,RH,p6_exp2
PO7,-7.742636215,1,RH,p6_exp2
PO7,-13.16931308,3,RH,p6_exp2
PO7,-6.852523602,4,RH,p6_exp2
PO7,-11.82399212,5,RH,p6_exp2
PO7,-7.36680678,6,RH,p6_exp2
PO7,-13.63051929,7,RH,p6_exp2
PO7,-17.26205275,8,RH,p6_exp2
PO7,-8.598481417,9,RH,p6_exp2
PO7,-9.362960062,10,RH,p6_exp2
PO7,-13.14867274,11,RH,p6_exp2
PO7,-5.939339495,12,RH,p6_exp2
PO7,-12.60874267,13,RH,p6_exp2
PO7,-13.84388504,14,RH,p6_exp2
PO7,-9.942821589,15,RH,p6_exp2
PO7,-2.254795984,16,RH,p6_exp2
PO7,-10.25156104,17,RH,p6_exp2
PO7,-15.81775137,18,RH,p6_exp2
PO7,-9.766261614,20,RH,p6_exp2
PO7,-1.728173609,21,RH,p6_exp2
PO7,-13.18903263,22,RH,p6_exp2
PO7,-17.03540036,23,RH,p6_exp2
PO7,-7.275229244,24,RH,p6_exp2
PO7,-9.187157451,25,RH,p6_exp2
PO7,-10.66087116,26,RH,p6_exp2
PO7,-9.486295053,27,RH,p6_exp2
PO7,-18.92028395,28,RH,p6_exp2
PO7,-8.895859254,29,RH,p6_exp2
PO7,-8.340240239,30,RH,p6_exp2
PO7,-5.243285643,31,RH,p6_exp2
PO7,-9.403781918,32,RH,p6_exp2
PO7,-10.12379534,33,RH,p6_exp2
PO7,-23.96556522,34,RH,p6_exp2
PO7,-7.399618571,35,RH,p6_exp2
PO7,-14.40801834,36,RH,p6_exp2
PO7,-10.55220558,37,RH,p6_exp2
PO7,-7.989447857,38,RH,p6_exp2
PO7,-20.90794983,39,RH,p6_exp2
Oz,-9.987345746,1,RH,p6_exp2
Oz,-14.33142771,3,RH,p6_exp2
Oz,-22.16269987,5,RH,p6_exp2
Oz,-10.30331342,6,RH,p6_exp2
Oz,-9.266913681,7,RH,p6_exp2
Oz,-6.268325325,8,RH,p6_exp2
Oz,-7.264404279,10,RH,p6_exp2
Oz,-7.524193679,11,RH,p6_exp2
Oz,-5.309671,14,RH,p6_exp2
Oz,-8.873692673,15,RH,p6_exp2
Oz,-8.171041883,18,RH,p6_exp2
Oz,-1.349039922,22,RH,p6_exp2
Oz,-8.418230448,23,RH,p6_exp2
Oz,-1.76926182,24,RH,p6_exp2
Oz,-5.171364883,26,RH,p6_exp2
Oz,-9.889999864,27,RH,p6_exp2
Oz,-21.5150165,28,RH,p6_exp2
Oz,-12.65965223,29,RH,p6_exp2
Oz,-4.362010897,30,RH,p6_exp2
Oz,-2.480313841,31,RH,p6_exp2
Oz,-7.188974569,32,RH,p6_exp2
Oz,-0.809224363,33,RH,p6_exp2
Oz,-14.01484916,34,RH,p6_exp2
Oz,-13.37497396,36,RH,p6_exp2
Oz,-4.711667869,37,RH,p6_exp2
Oz,-12.55465513,38,RH,p6_exp2
Oz,-12.6209911,39,RH,p6_exp2
PO8,-6.90087034,1,RH,p6_exp2
PO8,-1.402603685,2,RH,p6_exp2
PO8,-10.35744599,3,RH,p6_exp2
PO8,-7.574691778,4,RH,p6_exp2
PO8,-12.78517053,5,RH,p6_exp2
PO8,-4.57918146,6,RH,p6_exp2
PO8,-8.163074284,7,RH,p6_exp2
PO8,-14.29395133,8,RH,p6_exp2
PO8,-3.818070104,10,RH,p6_exp2
PO8,-10.123162,11,RH,p6_exp2
PO8,-3.156812468,13,RH,p6_exp2
PO8,-5.727863711,14,RH,p6_exp2
PO8,-1.257571146,15,RH,p6_exp2
PO8,-0.181493084,16,RH,p6_exp2
PO8,-8.107862569,17,RH,p6_exp2
PO8,-2.103556786,18,RH,p6_exp2
PO8,-8.890128158,20,RH,p6_exp2
PO8,-9.007853949,21,RH,p6_exp2
PO8,-2.410375697,22,RH,p6_exp2
PO8,-12.65289526,23,RH,p6_exp2
PO8,-5.121731463,24,RH,p6_exp2
PO8,-8.186881747,26,RH,p6_exp2
PO8,-8.097405776,27,RH,p6_exp2
PO8,-11.57771032,28,RH,p6_exp2
PO8,-6.774189169,29,RH,p6_exp2
PO8,-12.38270023,30,RH,p6_exp2
PO8,-0.699582494,31,RH,p6_exp2
PO8,-4.264760679,32,RH,p6_exp2
PO8,-12.784828,34,RH,p6_exp2
PO8,-7.364656491,35,RH,p6_exp2
PO8,-17.8839517,36,RH,p6_exp2
PO8,-16.76979584,37,RH,p6_exp2
PO8,-18.13414403,39,RH,p6_exp2
Fz,-15.18132073,0,SH,p6_exp2
Fz,-12.45803029,1,SH,p6_exp2
Fz,-14.27866553,2,SH,p6_exp2
Fz,-21.97632655,3,SH,p6_exp2
Fz,-18.10451735,4,SH,p6_exp2
Fz,-8.788702079,5,SH,p6_exp2
Fz,-21.25868986,6,SH,p6_exp2
Fz,-19.11519352,7,SH,p6_exp2
Fz,-14.43288552,8,SH,p6_exp2
Fz,-19.79327786,9,SH,p6_exp2
Fz,-3.960967789,10,SH,p6_exp2
Fz,-8.124885684,12,SH,p6_exp2
Fz,-9.061778915,13,SH,p6_exp2
Fz,-7.516107882,14,SH,p6_exp2
Fz,-12.52595403,15,SH,p6_exp2
Fz,-23.76714091,16,SH,p6_exp2
Fz,-9.897995903,17,SH,p6_exp2
Fz,-13.64581618,18,SH,p6_exp2
Fz,-7.067775489,19,SH,p6_exp2
Fz,-14.99499641,20,SH,p6_exp2
Fz,-14.79085103,21,SH,p6_exp2
Fz,-16.52742798,22,SH,p6_exp2
Fz,-24.18296823,23,SH,p6_exp2
Fz,-5.859155472,24,SH,p6_exp2
Fz,-30.71675112,25,SH,p6_exp2
Fz,-9.024194371,26,SH,p6_exp2
Fz,-5.057366526,27,SH,p6_exp2
Fz,-16.81165488,28,SH,p6_exp2
Fz,-13.53664826,29,SH,p6_exp2
Fz,-6.893750521,30,SH,p6_exp2
Fz,-8.919355185,31,SH,p6_exp2
Fz,-21.98571407,32,SH,p6_exp2
Fz,-23.5764183,33,SH,p6_exp2
Fz,-16.0500302,34,SH,p6_exp2
Fz,-41.41761455,35,SH,p6_exp2
Fz,-8.788535267,36,SH,p6_exp2
Fz,-7.358538046,37,SH,p6_exp2
Fz,-7.681872694,38,SH,p6_exp2
